signal,logical_bit,flow,step,src_wire,dst_wire,evidence
mem_ahb_hwrite,0,mcu_to_fabric,0,X13Y12_BufMUX09,X13Y12_InputMUX09,ahb-pipelined-token-pair-silicon
mem_ahb_hwrite,0,mcu_to_fabric,1,X13Y12_InputMUX09,X14Y12_RMUX89,ahb-pipelined-token-pair-silicon
mem_ahb_hwrite,0,mcu_to_fabric,2,X14Y12_RMUX89,X14Y12_IMUX01,ahb-pipelined-token-pair-silicon
mem_ahb_htrans,1,mcu_to_fabric,0,X13Y12_BufMUX02,X13Y12_InputMUX02,ahb-pipelined-token-pair-silicon
mem_ahb_htrans,1,mcu_to_fabric,1,X13Y12_InputMUX02,X14Y12_RMUX21,ahb-pipelined-token-pair-silicon
mem_ahb_htrans,1,mcu_to_fabric,2,X14Y12_RMUX21,X14Y10_RMUX87,ahb-pipelined-token-pair-silicon
mem_ahb_htrans,1,mcu_to_fabric,3,X14Y10_RMUX87,X14Y9_RMUX69,ahb-pipelined-token-pair-silicon
mem_ahb_htrans,1,mcu_to_fabric,4,X14Y9_RMUX69,X14Y12_RMUX82,ahb-pipelined-token-pair-silicon
mem_ahb_htrans,1,mcu_to_fabric,5,X14Y12_RMUX82,X14Y12_IMUX00,ahb-pipelined-token-pair-silicon
