src_res,src_x,src_y,dst_res,dst_x,dst_y,source
OMUX02,4,4,RMUX15,4,4,silicon
RMUX15,4,4,RMUX63,5,4,silicon
RMUX63,5,4,RMUX58,4,4,silicon
RMUX58,4,4,IMUX00,4,4,silicon
OMUX02,10,4,RMUX15,10,4,silicon
RMUX15,10,4,RMUX63,11,4,silicon
RMUX63,11,4,RMUX58,10,4,silicon
RMUX58,10,4,IMUX00,10,4,silicon
OMUX02,10,4,RMUX19,10,4,silicon
RMUX08,14,4,RMUX33,15,4,silicon
RMUX33,15,4,RMUX28,14,4,silicon
RMUX28,14,4,IMUX00,14,4,silicon
OMUX02,14,4,RMUX08,14,4,silicon
RMUX08,14,4,RMUX26,15,4,silicon
RMUX26,15,4,RMUX03,11,4,silicon
RMUX03,11,4,RMUX20,7,4,silicon
OMUX02,20,5,RMUX19,20,5,silicon
RMUX19,20,5,RMUX73,20,6,silicon
RMUX73,20,6,RMUX22,20,5,silicon
RMUX22,20,5,IMUX00,20,5,silicon
OMUX02,20,5,RMUX21,20,5,silicon
RMUX21,20,5,RMUX86,20,4,silicon
RMUX86,20,4,RMUX56,16,4,silicon
RMUX56,16,4,RMUX26,12,4,silicon
RMUX26,12,4,RMUX03,8,4,silicon
OMUX02,16,6,RMUX21,16,6,silicon
RMUX21,16,6,RMUX86,16,5,silicon
RMUX86,16,5,RMUX50,14,5,silicon
RMUX50,14,5,RMUX03,14,4,silicon
OMUX02,16,6,RMUX15,16,6,silicon
RMUX15,16,6,RMUX63,17,6,silicon
RMUX63,17,6,RMUX58,16,6,silicon
RMUX58,16,6,IMUX00,16,6,silicon
OMUX02,18,6,RMUX21,18,6,silicon
RMUX21,18,6,RMUX86,18,5,silicon
RMUX86,18,5,RMUX50,14,5,silicon
OMUX02,18,6,RMUX19,18,6,silicon
RMUX19,18,6,RMUX73,18,7,silicon
RMUX73,18,7,RMUX22,18,6,silicon
RMUX22,18,6,IMUX00,18,6,silicon
OMUX02,16,7,RMUX21,16,7,silicon
RMUX21,16,7,RMUX86,16,5,silicon
OMUX02,16,7,RMUX15,16,7,silicon
RMUX15,16,7,RMUX63,17,7,silicon
RMUX63,17,7,RMUX58,16,7,silicon
RMUX58,16,7,IMUX00,16,7,silicon
OMUX02,18,7,RMUX15,18,7,silicon
RMUX15,18,7,RMUX63,19,7,silicon
RMUX63,19,7,RMUX58,18,7,silicon
RMUX58,18,7,IMUX00,18,7,silicon
OMUX02,18,7,RMUX21,18,7,silicon
RMUX21,18,7,RMUX86,18,5,silicon
OMUX02,20,7,RMUX21,20,7,silicon
RMUX21,20,7,RMUX93,20,5,silicon
RMUX93,20,5,RMUX86,16,5,silicon
OMUX02,20,7,RMUX19,20,7,silicon
RMUX19,20,7,RMUX73,20,8,silicon
RMUX73,20,8,RMUX22,20,7,silicon
RMUX22,20,7,IMUX00,20,7,silicon
OMUX02,16,8,RMUX21,16,8,silicon
RMUX21,16,8,RMUX86,16,5,silicon
OMUX02,16,8,RMUX19,16,8,silicon
RMUX19,16,8,RMUX73,16,9,silicon
RMUX73,16,9,RMUX22,16,8,silicon
RMUX22,16,8,IMUX00,16,8,silicon
OMUX02,20,8,RMUX19,20,8,silicon
RMUX19,20,8,RMUX73,20,9,silicon
RMUX73,20,9,RMUX22,20,8,silicon
RMUX22,20,8,IMUX00,20,8,silicon
OMUX02,20,8,RMUX21,20,8,silicon
RMUX21,20,8,RMUX93,20,5,silicon
OMUX02,14,9,RMUX21,14,9,silicon
RMUX21,14,9,RMUX87,14,5,silicon
RMUX87,14,5,RMUX63,14,4,silicon
RMUX63,14,4,RMUX63,10,4,silicon
RMUX63,10,4,RMUX63,6,4,silicon
RMUX63,6,4,RMUX68,5,4,silicon
OMUX02,14,9,RMUX08,14,9,silicon
RMUX08,14,9,RMUX33,15,9,silicon
RMUX33,15,9,RMUX28,14,9,silicon
RMUX28,14,9,IMUX00,14,9,silicon
OMUX02,18,9,RMUX19,18,9,silicon
RMUX19,18,9,RMUX73,18,10,silicon
RMUX73,18,10,RMUX22,18,9,silicon
RMUX22,18,9,IMUX00,18,9,silicon
OMUX02,18,9,RMUX21,18,9,silicon
RMUX21,18,9,RMUX86,18,5,silicon
OMUX02,14,10,RMUX21,14,10,silicon
RMUX21,14,10,RMUX87,14,6,silicon
RMUX87,14,6,RMUX63,14,4,silicon
