signal,logical_bit,step,src_wire,dst_wire,evidence
uart1_txd_data,292,0,X5Y5_BufMUX04,X5Y5_InputMUX05,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,1,X5Y5_InputMUX05,X5Y4_RMUX38,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,2,X5Y4_RMUX38,X8Y4_RMUX51,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,3,X8Y4_RMUX51,X12Y4_RMUX15,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,4,X12Y4_RMUX15,X16Y4_RMUX69,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,5,X16Y4_RMUX69,X16Y5_RMUX92,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,6,X16Y5_RMUX92,X16Y9_RMUX74,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,7,X16Y9_RMUX74,X20Y9_RMUX19,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,8,X20Y9_RMUX19,X20Y13_RMUX24,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_data,292,9,X20Y13_RMUX24,X20Y13_IOMUX01,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,0,X4Y5_BufMUX00,X4Y5_InputMUX01,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,1,X4Y5_InputMUX01,X4Y4_RMUX08,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,2,X4Y4_RMUX08,X8Y4_RMUX27,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,3,X8Y4_RMUX27,X8Y3_RMUX15,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,4,X8Y3_RMUX15,X12Y3_RMUX68,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,5,X12Y3_RMUX68,X16Y3_RMUX85,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,6,X16Y3_RMUX85,X16Y5_RMUX55,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,7,X16Y5_RMUX55,X16Y9_RMUX31,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,8,X16Y9_RMUX31,X20Y9_RMUX25,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,9,X20Y9_RMUX25,X20Y13_RMUX00,vendor-uart1-eight-seed-exact-simultaneous-route-composition
uart1_txd_oe,293,10,X20Y13_RMUX00,X20Y13_IOMUX05,vendor-uart1-eight-seed-exact-simultaneous-route-composition
