signal,logical_bit,step,src_wire,dst_wire,evidence
spi1_sck_data,7,0,X10Y5_BufMUX04,X10Y5_InputMUX05,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,1,X10Y5_InputMUX05,X10Y4_RMUX38,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,2,X10Y4_RMUX38,X12Y4_RMUX51,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,3,X12Y4_RMUX51,X16Y4_RMUX15,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,4,X16Y4_RMUX15,X20Y4_RMUX69,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,5,X20Y4_RMUX69,X20Y5_RMUX92,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,6,X20Y5_RMUX92,X20Y9_RMUX85,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,7,X20Y9_RMUX85,X20Y13_RMUX16,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_data,7,8,X20Y13_RMUX16,X20Y13_IOMUX03,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,0,X9Y5_BufMUX00,X9Y5_InputMUX01,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,1,X9Y5_InputMUX01,X9Y4_RMUX08,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,2,X9Y4_RMUX08,X13Y4_RMUX33,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,3,X13Y4_RMUX33,X12Y4_RMUX45,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,4,X12Y4_RMUX45,X16Y4_RMUX92,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,5,X16Y4_RMUX92,X16Y5_RMUX81,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,6,X16Y5_RMUX81,X20Y5_RMUX39,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,7,X20Y5_RMUX39,X20Y9_RMUX62,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,8,X20Y9_RMUX62,X20Y13_RMUX20,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_sck_oe,7,9,X20Y13_RMUX20,X20Y13_IOMUX07,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,0,X9Y5_BufMUX01,X9Y5_InputMUX00,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,1,X9Y5_InputMUX00,X9Y4_RMUX01,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,2,X9Y4_RMUX01,X11Y4_RMUX01,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,3,X11Y4_RMUX01,X15Y4_RMUX01,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,4,X15Y4_RMUX01,X19Y4_RMUX07,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,5,X19Y4_RMUX07,X19Y3_RMUX25,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,6,X19Y3_RMUX25,X19Y7_RMUX07,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,7,X19Y7_RMUX07,X19Y6_RMUX25,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,8,X19Y6_RMUX25,X19Y10_RMUX07,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,9,X19Y10_RMUX07,X19Y9_RMUX25,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,10,X19Y9_RMUX25,X19Y13_RMUX00,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_data,0,11,X19Y13_RMUX00,X19Y13_IOMUX03,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,0,X9Y5_BufMUX09,X9Y5_InputMUX08,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,1,X9Y5_InputMUX08,X9Y4_RMUX68,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,2,X9Y4_RMUX68,X11Y4_RMUX74,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,3,X11Y4_RMUX74,X15Y4_RMUX09,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,4,X15Y4_RMUX09,X15Y5_RMUX45,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,5,X15Y5_RMUX45,X19Y5_RMUX92,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,6,X19Y5_RMUX92,X19Y9_RMUX85,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,7,X19Y9_RMUX85,X19Y13_RMUX16,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_csn_oe,0,8,X19Y13_RMUX16,X19Y13_IOMUX07,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_data,4,0,X13Y7_BufMUX12,X14Y7_RMUX09,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_data,4,1,X14Y7_RMUX09,X14Y9_RMUX38,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_data,4,2,X14Y9_RMUX38,X15Y9_RMUX61,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_data,4,3,X15Y9_RMUX61,X19Y9_RMUX55,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_data,4,4,X19Y9_RMUX55,X19Y13_RMUX08,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_data,4,5,X19Y13_RMUX08,X19Y13_IOMUX02,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_oe,4,0,X13Y6_BufMUX00,X13Y6_InputMUX01,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_oe,4,1,X13Y6_InputMUX01,X15Y6_RMUX08,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_oe,4,2,X15Y6_RMUX08,X19Y6_RMUX32,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_oe,4,3,X19Y6_RMUX32,X19Y9_RMUX32,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_oe,4,4,X19Y9_RMUX32,X19Y13_RMUX12,vendor-spi1-tx-eight-root-agreement-structural6987-composition
spi1_mosi_oe,4,5,X19Y13_RMUX12,X19Y13_IOMUX06,vendor-spi1-tx-eight-root-agreement-structural6987-composition
