x,y,feature,byte,mask
1,2,CFG_LUTCMUX[30],89476,8
1,2,CFG_LUTCMUX[31],89128,8
1,2,CFG_LUTCMUX[3],82168,8
1,2,CFG_LUTCMUX[4],82980,8
1,2,CFG_LUTCMUX[5],82632,8
1,2,CFG_LUTCMUX[6],83444,8
1,2,CFG_LUTCMUX[7],83096,8
1,2,CFG_LUTCMUX[8],83908,8
1,2,CFG_LUTCMUX[9],83560,8
1,3,CFG_BYPASSEN[0],74164,16
1,3,CFG_BYPASSEN[10],79268,16
1,3,CFG_BYPASSEN[11],79732,16
1,3,CFG_BYPASSEN[12],80196,16
1,3,CFG_BYPASSEN[13],80660,16
1,3,CFG_BYPASSEN[14],81124,16
1,3,CFG_BYPASSEN[15],81588,16
1,3,CFG_BYPASSEN[1],74628,16
1,3,CFG_BYPASSEN[2],75092,16
1,3,CFG_BYPASSEN[3],75556,16
1,3,CFG_BYPASSEN[4],76020,16
1,3,CFG_BYPASSEN[5],76484,16
1,3,CFG_BYPASSEN[6],76948,16
1,3,CFG_BYPASSEN[7],77412,16
1,3,CFG_BYPASSEN[8],78340,16
1,3,CFG_BYPASSEN[9],78804,16
1,3,CFG_CARRY_CRL[0],74048,8
1,3,CFG_CARRY_CRL[10],79152,8
1,3,CFG_CARRY_CRL[11],79616,8
1,3,CFG_CARRY_CRL[12],80080,8
1,3,CFG_CARRY_CRL[13],80544,8
1,3,CFG_CARRY_CRL[14],81008,8
1,3,CFG_CARRY_CRL[15],81472,8
1,3,CFG_CARRY_CRL[1],74512,8
1,3,CFG_CARRY_CRL[2],74976,8
1,3,CFG_CARRY_CRL[3],75440,8
1,3,CFG_CARRY_CRL[4],75904,8
1,3,CFG_CARRY_CRL[5],76368,8
1,3,CFG_CARRY_CRL[6],76832,8
1,3,CFG_CARRY_CRL[7],77296,8
1,3,CFG_CARRY_CRL[8],78224,8
1,3,CFG_CARRY_CRL[9],78688,8
1,3,CFG_LUTCMUX[0],74164,8
1,3,CFG_LUTCMUX[10],76484,8
1,3,CFG_LUTCMUX[11],76136,8
1,3,CFG_LUTCMUX[12],76948,8
1,3,CFG_LUTCMUX[13],76600,8
1,3,CFG_LUTCMUX[14],77412,8
1,3,CFG_LUTCMUX[15],77064,8
1,3,CFG_LUTCMUX[16],78340,8
1,3,CFG_LUTCMUX[17],77992,8
1,3,CFG_LUTCMUX[18],78804,8
1,3,CFG_LUTCMUX[19],78456,8
1,3,CFG_LUTCMUX[1],73816,8
1,3,CFG_LUTCMUX[20],79268,8
1,3,CFG_LUTCMUX[21],78920,8
1,3,CFG_LUTCMUX[22],79732,8
1,3,CFG_LUTCMUX[23],79384,8
1,3,CFG_LUTCMUX[24],80196,8
1,3,CFG_LUTCMUX[25],79848,8
1,3,CFG_LUTCMUX[26],80660,8
1,3,CFG_LUTCMUX[27],80312,8
1,3,CFG_LUTCMUX[28],81124,8
1,3,CFG_LUTCMUX[29],80776,8
1,3,CFG_LUTCMUX[2],74628,8
1,3,CFG_LUTCMUX[30],81588,8
1,3,CFG_LUTCMUX[31],81240,8
1,3,CFG_LUTCMUX[3],74280,8
1,3,CFG_LUTCMUX[4],75092,8
1,3,CFG_LUTCMUX[5],74744,8
1,3,CFG_LUTCMUX[6],75556,8
1,3,CFG_LUTCMUX[7],75208,8
1,3,CFG_LUTCMUX[8],76020,8
1,3,CFG_LUTCMUX[9],75672,8
1,4,CFG_BYPASSEN[0],66276,16
1,4,CFG_BYPASSEN[10],71380,16
1,4,CFG_BYPASSEN[11],71844,16
1,4,CFG_BYPASSEN[12],72308,16
1,4,CFG_BYPASSEN[13],72772,16
1,4,CFG_BYPASSEN[14],73236,16
1,4,CFG_BYPASSEN[15],73700,16
1,4,CFG_BYPASSEN[1],66740,16
1,4,CFG_BYPASSEN[2],67204,16
1,4,CFG_BYPASSEN[3],67668,16
1,4,CFG_BYPASSEN[4],68132,16
1,4,CFG_BYPASSEN[5],68596,16
1,4,CFG_BYPASSEN[6],69060,16
1,4,CFG_BYPASSEN[7],69524,16
1,4,CFG_BYPASSEN[8],70452,16
1,4,CFG_BYPASSEN[9],70916,16
1,4,CFG_CARRY_CRL[0],66160,8
1,4,CFG_CARRY_CRL[10],71264,8
1,4,CFG_CARRY_CRL[11],71728,8
1,4,CFG_CARRY_CRL[12],72192,8
1,4,CFG_CARRY_CRL[13],72656,8
1,4,CFG_CARRY_CRL[14],73120,8
1,4,CFG_CARRY_CRL[15],73584,8
1,4,CFG_CARRY_CRL[1],66624,8
1,4,CFG_CARRY_CRL[2],67088,8
1,4,CFG_CARRY_CRL[3],67552,8
1,4,CFG_CARRY_CRL[4],68016,8
1,4,CFG_CARRY_CRL[5],68480,8
1,4,CFG_CARRY_CRL[6],68944,8
1,4,CFG_CARRY_CRL[7],69408,8
1,4,CFG_CARRY_CRL[8],70336,8
1,4,CFG_CARRY_CRL[9],70800,8
1,4,CFG_LUTCMUX[0],66276,8
1,4,CFG_LUTCMUX[10],68596,8
1,4,CFG_LUTCMUX[11],68248,8
1,4,CFG_LUTCMUX[12],69060,8
1,4,CFG_LUTCMUX[13],68712,8
1,4,CFG_LUTCMUX[14],69524,8
1,4,CFG_LUTCMUX[15],69176,8
1,4,CFG_LUTCMUX[16],70452,8
1,4,CFG_LUTCMUX[17],70104,8
1,4,CFG_LUTCMUX[18],70916,8
1,4,CFG_LUTCMUX[19],70568,8
1,4,CFG_LUTCMUX[1],65928,8
1,4,CFG_LUTCMUX[20],71380,8
1,4,CFG_LUTCMUX[21],71032,8
1,4,CFG_LUTCMUX[22],71844,8
1,4,CFG_LUTCMUX[23],71496,8
1,4,CFG_LUTCMUX[24],72308,8
1,4,CFG_LUTCMUX[25],71960,8
1,4,CFG_LUTCMUX[26],72772,8
1,4,CFG_LUTCMUX[27],72424,8
1,4,CFG_LUTCMUX[28],73236,8
1,4,CFG_LUTCMUX[29],72888,8
1,4,CFG_LUTCMUX[2],66740,8
1,4,CFG_LUTCMUX[30],73700,8
1,4,CFG_LUTCMUX[31],73352,8
1,4,CFG_LUTCMUX[3],66392,8
1,4,CFG_LUTCMUX[4],67204,8
1,4,CFG_LUTCMUX[5],66856,8
1,4,CFG_LUTCMUX[6],67668,8
1,4,CFG_LUTCMUX[7],67320,8
1,4,CFG_LUTCMUX[8],68132,8
1,4,CFG_LUTCMUX[9],67784,8
2,1,CFG_BYPASSEN[0],89935,1
2,1,CFG_BYPASSEN[10],95039,1
2,1,CFG_BYPASSEN[11],95503,1
2,1,CFG_BYPASSEN[12],95967,1
2,1,CFG_BYPASSEN[13],96431,1
2,1,CFG_BYPASSEN[14],96895,1
2,1,CFG_BYPASSEN[15],97359,1
2,1,CFG_BYPASSEN[1],90399,1
2,1,CFG_BYPASSEN[2],90863,1
2,1,CFG_BYPASSEN[3],91327,1
2,1,CFG_BYPASSEN[4],91791,1
2,1,CFG_BYPASSEN[5],92255,1
2,1,CFG_BYPASSEN[6],92719,1
2,1,CFG_BYPASSEN[7],93183,1
2,1,CFG_BYPASSEN[8],94111,1
2,1,CFG_BYPASSEN[9],94575,1
2,1,CFG_CARRY_CRL[0],89820,128
2,1,CFG_CARRY_CRL[10],94924,128
2,1,CFG_CARRY_CRL[11],95388,128
2,1,CFG_CARRY_CRL[12],95852,128
2,1,CFG_CARRY_CRL[13],96316,128
2,1,CFG_CARRY_CRL[14],96780,128
2,1,CFG_CARRY_CRL[15],97244,128
2,1,CFG_CARRY_CRL[1],90284,128
2,1,CFG_CARRY_CRL[2],90748,128
2,1,CFG_CARRY_CRL[3],91212,128
2,1,CFG_CARRY_CRL[4],91676,128
2,1,CFG_CARRY_CRL[5],92140,128
2,1,CFG_CARRY_CRL[6],92604,128
2,1,CFG_CARRY_CRL[7],93068,128
2,1,CFG_CARRY_CRL[8],93996,128
2,1,CFG_CARRY_CRL[9],94460,128
2,1,CFG_LUTCMUX[0],89936,128
2,1,CFG_LUTCMUX[10],92256,128
2,1,CFG_LUTCMUX[11],91908,128
2,1,CFG_LUTCMUX[12],92720,128
2,1,CFG_LUTCMUX[13],92372,128
2,1,CFG_LUTCMUX[14],93184,128
2,1,CFG_LUTCMUX[15],92836,128
2,1,CFG_LUTCMUX[16],94112,128
2,1,CFG_LUTCMUX[17],93764,128
2,1,CFG_LUTCMUX[18],94576,128
2,1,CFG_LUTCMUX[19],94228,128
2,1,CFG_LUTCMUX[1],89588,128
2,1,CFG_LUTCMUX[20],95040,128
2,1,CFG_LUTCMUX[21],94692,128
2,1,CFG_LUTCMUX[22],95504,128
2,1,CFG_LUTCMUX[23],95156,128
2,1,CFG_LUTCMUX[24],95968,128
2,1,CFG_LUTCMUX[25],95620,128
2,1,CFG_LUTCMUX[26],96432,128
2,1,CFG_LUTCMUX[27],96084,128
2,1,CFG_LUTCMUX[28],96896,128
2,1,CFG_LUTCMUX[29],96548,128
2,1,CFG_LUTCMUX[2],90400,128
2,1,CFG_LUTCMUX[30],97360,128
2,1,CFG_LUTCMUX[31],97012,128
2,1,CFG_LUTCMUX[3],90052,128
2,1,CFG_LUTCMUX[4],90864,128
2,1,CFG_LUTCMUX[5],90516,128
2,1,CFG_LUTCMUX[6],91328,128
2,1,CFG_LUTCMUX[7],90980,128
2,1,CFG_LUTCMUX[8],91792,128
2,1,CFG_LUTCMUX[9],91444,128
2,2,CFG_BYPASSEN[0],82047,1
2,2,CFG_BYPASSEN[10],87151,1
2,2,CFG_BYPASSEN[11],87615,1
2,2,CFG_BYPASSEN[12],88079,1
2,2,CFG_BYPASSEN[13],88543,1
2,2,CFG_BYPASSEN[14],89007,1
2,2,CFG_BYPASSEN[15],89471,1
2,2,CFG_BYPASSEN[1],82511,1
2,2,CFG_BYPASSEN[2],82975,1
2,2,CFG_BYPASSEN[3],83439,1
2,2,CFG_BYPASSEN[4],83903,1
2,2,CFG_BYPASSEN[5],84367,1
2,2,CFG_BYPASSEN[6],84831,1
2,2,CFG_BYPASSEN[7],85295,1
2,2,CFG_BYPASSEN[8],86223,1
2,2,CFG_BYPASSEN[9],86687,1
2,2,CFG_CARRY_CRL[0],81932,128
2,2,CFG_CARRY_CRL[10],87036,128
2,2,CFG_CARRY_CRL[11],87500,128
2,2,CFG_CARRY_CRL[12],87964,128
2,2,CFG_CARRY_CRL[13],88428,128
2,2,CFG_CARRY_CRL[14],88892,128
2,2,CFG_CARRY_CRL[15],89356,128
2,2,CFG_CARRY_CRL[1],82396,128
2,2,CFG_CARRY_CRL[2],82860,128
2,2,CFG_CARRY_CRL[3],83324,128
2,2,CFG_CARRY_CRL[4],83788,128
2,2,CFG_CARRY_CRL[5],84252,128
2,2,CFG_CARRY_CRL[6],84716,128
2,2,CFG_CARRY_CRL[7],85180,128
2,2,CFG_CARRY_CRL[8],86108,128
2,2,CFG_CARRY_CRL[9],86572,128
2,2,CFG_LUTCMUX[0],82048,128
2,2,CFG_LUTCMUX[10],84368,128
2,2,CFG_LUTCMUX[11],84020,128
2,2,CFG_LUTCMUX[12],84832,128
2,2,CFG_LUTCMUX[13],84484,128
2,2,CFG_LUTCMUX[14],85296,128
2,2,CFG_LUTCMUX[15],84948,128
2,2,CFG_LUTCMUX[16],86224,128
2,2,CFG_LUTCMUX[17],85876,128
2,2,CFG_LUTCMUX[18],86688,128
2,2,CFG_LUTCMUX[19],86340,128
2,2,CFG_LUTCMUX[1],81700,128
2,2,CFG_LUTCMUX[20],87152,128
2,2,CFG_LUTCMUX[21],86804,128
2,2,CFG_LUTCMUX[22],87616,128
2,2,CFG_LUTCMUX[23],87268,128
2,2,CFG_LUTCMUX[24],88080,128
2,2,CFG_LUTCMUX[25],87732,128
2,2,CFG_LUTCMUX[26],88544,128
2,2,CFG_LUTCMUX[27],88196,128
2,2,CFG_LUTCMUX[28],89008,128
2,2,CFG_LUTCMUX[29],88660,128
2,2,CFG_LUTCMUX[2],82512,128
2,2,CFG_LUTCMUX[30],89472,128
2,2,CFG_LUTCMUX[31],89124,128
2,2,CFG_LUTCMUX[3],82164,128
2,2,CFG_LUTCMUX[4],82976,128
2,2,CFG_LUTCMUX[5],82628,128
2,2,CFG_LUTCMUX[6],83440,128
2,2,CFG_LUTCMUX[7],83092,128
2,2,CFG_LUTCMUX[8],83904,128
2,2,CFG_LUTCMUX[9],83556,128
2,3,CFG_BYPASSEN[0],74159,1
2,3,CFG_BYPASSEN[10],79263,1
2,3,CFG_BYPASSEN[11],79727,1
2,3,CFG_BYPASSEN[12],80191,1
2,3,CFG_BYPASSEN[13],80655,1
2,3,CFG_BYPASSEN[14],81119,1
2,3,CFG_BYPASSEN[15],81583,1
2,3,CFG_BYPASSEN[1],74623,1
2,3,CFG_BYPASSEN[2],75087,1
2,3,CFG_BYPASSEN[3],75551,1
2,3,CFG_BYPASSEN[4],76015,1
2,3,CFG_BYPASSEN[5],76479,1
2,3,CFG_BYPASSEN[6],76943,1
2,3,CFG_BYPASSEN[7],77407,1
2,3,CFG_BYPASSEN[8],78335,1
2,3,CFG_BYPASSEN[9],78799,1
2,3,CFG_CARRY_CRL[0],74044,128
2,3,CFG_CARRY_CRL[10],79148,128
2,3,CFG_CARRY_CRL[11],79612,128
2,3,CFG_CARRY_CRL[12],80076,128
2,3,CFG_CARRY_CRL[13],80540,128
2,3,CFG_CARRY_CRL[14],81004,128
2,3,CFG_CARRY_CRL[15],81468,128
2,3,CFG_CARRY_CRL[1],74508,128
2,3,CFG_CARRY_CRL[2],74972,128
2,3,CFG_CARRY_CRL[3],75436,128
2,3,CFG_CARRY_CRL[4],75900,128
2,3,CFG_CARRY_CRL[5],76364,128
2,3,CFG_CARRY_CRL[6],76828,128
2,3,CFG_CARRY_CRL[7],77292,128
2,3,CFG_CARRY_CRL[8],78220,128
2,3,CFG_CARRY_CRL[9],78684,128
2,3,CFG_LUTCMUX[0],74160,128
2,3,CFG_LUTCMUX[10],76480,128
2,3,CFG_LUTCMUX[11],76132,128
2,3,CFG_LUTCMUX[12],76944,128
2,3,CFG_LUTCMUX[13],76596,128
2,3,CFG_LUTCMUX[14],77408,128
2,3,CFG_LUTCMUX[15],77060,128
2,3,CFG_LUTCMUX[16],78336,128
2,3,CFG_LUTCMUX[17],77988,128
2,3,CFG_LUTCMUX[18],78800,128
2,3,CFG_LUTCMUX[19],78452,128
2,3,CFG_LUTCMUX[1],73812,128
2,3,CFG_LUTCMUX[20],79264,128
2,3,CFG_LUTCMUX[21],78916,128
2,3,CFG_LUTCMUX[22],79728,128
2,3,CFG_LUTCMUX[23],79380,128
2,3,CFG_LUTCMUX[24],80192,128
2,3,CFG_LUTCMUX[25],79844,128
2,3,CFG_LUTCMUX[26],80656,128
2,3,CFG_LUTCMUX[27],80308,128
2,3,CFG_LUTCMUX[28],81120,128
2,3,CFG_LUTCMUX[29],80772,128
2,3,CFG_LUTCMUX[2],74624,128
2,3,CFG_LUTCMUX[30],81584,128
2,3,CFG_LUTCMUX[31],81236,128
2,3,CFG_LUTCMUX[3],74276,128
2,3,CFG_LUTCMUX[4],75088,128
2,3,CFG_LUTCMUX[5],74740,128
2,3,CFG_LUTCMUX[6],75552,128
2,3,CFG_LUTCMUX[7],75204,128
2,3,CFG_LUTCMUX[8],76016,128
2,3,CFG_LUTCMUX[9],75668,128
2,4,CFG_BYPASSEN[0],66271,1
2,4,CFG_BYPASSEN[10],71375,1
2,4,CFG_BYPASSEN[11],71839,1
2,4,CFG_BYPASSEN[12],72303,1
