pin,x,y,z,edge
PIN_1,22,1,4,RIGHT
PIN_2,22,1,3,RIGHT
PIN_3,22,1,2,RIGHT
PIN_4,22,1,0,RIGHT
PIN_5,22,2,5,RIGHT
PIN_7,22,2,3,RIGHT
PIN_15,22,3,3,RIGHT
PIN_16,22,3,2,RIGHT
PIN_17,22,3,1,RIGHT
PIN_18,22,3,0,RIGHT
PIN_23,20,13,1,TOP
PIN_24,20,13,2,TOP
PIN_25,20,13,3,TOP
PIN_26,19,13,3,TOP
PIN_29,19,13,2,TOP
PIN_30,19,13,1,TOP
PIN_31,19,13,0,TOP
PIN_32,18,13,3,TOP
PIN_33,18,13,2,TOP
PIN_34,18,13,1,TOP
PIN_35,18,13,0,TOP
PIN_36,17,13,3,TOP
PIN_37,17,13,2,TOP
PIN_38,17,13,1,TOP
PIN_39,17,13,0,TOP
PIN_40,16,13,3,TOP
PIN_41,16,13,2,TOP
PIN_42,16,13,1,TOP
PIN_43,16,13,0,TOP
PIN_44,15,13,3,TOP
PIN_45,15,13,2,TOP
PIN_46,15,13,0,TOP
PIN_47,14,13,2,TOP
PIN_48,14,13,0,TOP
PIN_51,0,4,0,LEFT
PIN_52,0,4,1,LEFT
PIN_53,0,4,2,LEFT
PIN_54,0,4,3,LEFT
PIN_55,0,4,4,LEFT
PIN_56,0,4,5,LEFT
PIN_57,0,3,0,LEFT
PIN_58,0,3,1,LEFT
PIN_59,0,3,2,LEFT
PIN_60,0,3,3,LEFT
PIN_61,0,3,4,LEFT
PIN_62,0,3,5,LEFT
PIN_63,0,2,0,LEFT
PIN_64,0,2,1,LEFT
PIN_65,0,2,2,LEFT
PIN_66,0,2,3,LEFT
PIN_67,0,2,4,LEFT
PIN_68,0,2,5,LEFT
PIN_69,0,1,0,LEFT
PIN_70,0,1,2,LEFT
PIN_71,0,1,3,LEFT
PIN_72,0,1,4,LEFT
PIN_76,1,0,0,BOTTOM
PIN_77,1,0,1,BOTTOM
PIN_78,1,0,2,BOTTOM
PIN_79,1,0,3,BOTTOM
PIN_80,6,0,0,BOTTOM
PIN_81,6,0,3,BOTTOM
PIN_82,7,0,0,BOTTOM
PIN_83,7,0,1,BOTTOM
PIN_84,7,0,3,BOTTOM
PIN_85,8,0,0,BOTTOM
PIN_86,8,0,1,BOTTOM
PIN_87,8,0,2,BOTTOM
PIN_88,8,0,3,BOTTOM
PIN_89,17,0,0,BOTTOM
PIN_90,17,0,1,BOTTOM
PIN_91,17,0,2,BOTTOM
PIN_92,18,0,0,BOTTOM
PIN_93,18,0,1,BOTTOM
PIN_95,19,0,1,BOTTOM
PIN_96,19,0,3,BOTTOM
PIN_97,20,0,0,BOTTOM
PIN_98,20,0,2,BOTTOM
