src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X12Y5_BufMUX09,X12Y5_InputMUX08,mcu,12,5,InputMUX8,0,0,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X12Y5_InputMUX08,X12Y4_RMUX68,fabric,12,4,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,23;29,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX68,X15Y4_RMUX81,fabric,15,4,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,34;38,user_7061;user_7091;structural_7067;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y4_RMUX81,X19Y4_RMUX39,fabric,19,4,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,35;38,user_7061;user_7091;structural_7067;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X19Y4_RMUX39,X19Y5_RMUX69,fabric,19,5,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,36;38,user_7061;user_7091;structural_7067;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X19Y5_RMUX69,X19Y9_RMUX92,fabric,19,9,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,22;29,user_7061;user_7081;user_7091;structural_7067;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X11Y5_BufMUX05,X11Y5_InputMUX05,mcu,11,5,InputMUX5,0,0,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X11Y5_InputMUX05,X11Y4_RMUX45,fabric,11,4,CFG_RMUX7,30;31;32;33;34;35;36;37;38;39,33;39,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX45,X15Y4_RMUX92,fabric,15,4,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,25;28,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y4_RMUX92,X15Y5_RMUX75,fabric,15,5,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,36;38,user_7061;structural_7067,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y5_RMUX75,X15Y9_RMUX15,fabric,15,9,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,32;39,user_7061;structural_7067,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y9_RMUX15,X19Y9_RMUX62,fabric,19,9,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,25;28,user_7061;structural_7067,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X19Y13_InputMUX02,X19Y9_RMUX20,fabric,19,9,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,26;29,user_7061;user_7091;structural_7067;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X19Y9_RMUX20,X15Y9_RMUX80,fabric,15,9,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,21;28,user_7061;user_7091;structural_7067;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y9_RMUX80,X15Y5_RMUX27,fabric,15,5,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,36;39,user_7061;user_7091;structural_7067;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y5_RMUX27,X15Y4_RMUX20,fabric,15,4,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,23;29,user_7061;user_7071;user_7091;structural_7067;structural_7077;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y4_RMUX20,X11Y4_RMUX85,fabric,11,4,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,11;18,user_7061;user_7071;user_7091;structural_7067;structural_7077;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX85,X11Y5_BBMUXS04,mcu,11,5,BBMUXS4,0;1;2;3;4;5;6;7;8,2;5,user_7061;user_7071;user_7091;structural_7067;structural_7077;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X12Y5_BufMUX10,X12Y5_InputMUX10,mcu,12,5,InputMUX10,0,,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X12Y5_InputMUX10,X12Y4_RMUX81,fabric,12,4,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,33;39,user_7061;user_7071;structural_7067;structural_7077,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX81,X16Y4_RMUX39,fabric,16,4,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,35;38,user_7061;user_7071;structural_7067;structural_7077,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X16Y4_RMUX39,X16Y5_RMUX68,fabric,16,5,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,26;28,user_7061;user_7071;structural_7067;structural_7077,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X16Y5_RMUX68,X20Y5_RMUX85,fabric,20,5,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;18,user_7061;user_7071;structural_7067;structural_7077,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X20Y5_RMUX85,X20Y9_RMUX55,fabric,20,9,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,12;19,user_7061;user_7071;structural_7067;structural_7077,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X11Y5_BufMUX06,X11Y5_InputMUX07,mcu,11,5,InputMUX7,0,,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X11Y5_InputMUX07,X11Y4_RMUX51,fabric,11,4,CFG_RMUX8,30;31;32;33;34;35;36;37;38;39,33;39,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X11Y4_RMUX51,X12Y4_RMUX15,fabric,12,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,32;38,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX15,X16Y4_RMUX62,fabric,16,4,CFG_RMUX10,20;21;22;23;24;25;26;27;28;29,25;28,user_7061;user_7081;structural_7067;structural_7087,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X16Y4_RMUX62,X16Y5_RMUX61,fabric,16,5,CFG_RMUX10,10;11;12;13;14;15;16;17;18;19,16;18,user_7061;user_7081;structural_7067;structural_7087,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X16Y5_RMUX61,X20Y5_RMUX55,fabric,20,5,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,15;18,user_7061;user_7081;structural_7067;structural_7087,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X20Y5_RMUX55,X20Y9_RMUX25,fabric,20,9,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,12;19,user_7061;user_7081;user_7091;structural_7067;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X20Y13_InputMUX04,X20Y9_RMUX26,fabric,20,9,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,26;29,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X20Y9_RMUX26,X19Y9_RMUX03,fabric,19,9,CFG_RMUX0,30;31;32;33;34;35;36;37;38;39,35;37,user_7061;user_7071;user_7081;user_7091;structural_7067;structural_7077;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X19Y9_RMUX03,X15Y9_RMUX14,fabric,15,9,CFG_RMUX2,20;21;22;23;24;25;26;27;28;29,21;28,user_7061;user_7081;user_7091;structural_7067;structural_7087;structural_7097,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
X15Y9_RMUX14,X15Y5_RMUX67,fabric,15,5,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,16;19,user_7061;structural_7067,vendor-i2c0-eight-seed-exact-simultaneous-route-composition
