schema,device,package,profile,class,version,lane,pin,source_bel,source_port,sink_bel,sink_port,step,src_wire,dst_wire,evidence
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,2,PIN_27,X14Y11_SLICE6,Q,X0Y4_IOB2,I,3,X14Y4_RMUX26,X11Y4_RMUX03,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,2,PIN_27,X14Y11_SLICE6,Q,X0Y4_IOB2,I,4,X11Y4_RMUX03,X7Y4_RMUX20,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,2,PIN_27,X14Y11_SLICE6,Q,X0Y4_IOB2,I,5,X7Y4_RMUX20,X3Y4_RMUX74,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,2,PIN_27,X14Y11_SLICE6,Q,X0Y4_IOB2,I,6,X3Y4_RMUX74,X4Y4_RMUX13,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,2,PIN_27,X14Y11_SLICE6,Q,X0Y4_IOB2,I,7,X4Y4_RMUX13,X0Y4_RMUX18,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,2,PIN_27,X14Y11_SLICE6,Q,X0Y4_IOB2,I,8,X0Y4_RMUX18,X0Y4_IOMUX02,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,0,X14Y11_OMUX23,X14Y11_RMUX27,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,1,X14Y11_RMUX27,X14Y8_RMUX21,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,2,X14Y8_RMUX21,X14Y4_RMUX93,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,3,X14Y4_RMUX93,X12Y4_RMUX86,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,4,X12Y4_RMUX86,X8Y4_RMUX56,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,5,X8Y4_RMUX56,X4Y4_RMUX26,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,6,X4Y4_RMUX26,X0Y4_RMUX00,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,3,PIN_28,X14Y11_SLICE7,Q,X0Y4_IOB3,I,7,X0Y4_RMUX00,X0Y4_IOMUX03,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
