src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X5Y5_BufMUX06,X5Y5_InputMUX07,mcu,5,5,InputMUX7,0,,user_7201;user_7211;user_7221;user_7231;structural_7207;structural_7217;structural_7227;structural_7237,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X5Y5_InputMUX07,X5Y4_RMUX51,fabric,5,4,CFG_RMUX8,30;31;32;33;34;35;36;37;38;39,33;39,user_7201;user_7211;user_7221;user_7231;structural_7207;structural_7217;structural_7227;structural_7237,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X5Y4_RMUX51,X8Y4_RMUX15,fabric,8,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,34;38,user_7201;user_7211;user_7221;user_7231;structural_7207;structural_7217;structural_7227;structural_7237,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X8Y4_RMUX15,X12Y4_RMUX68,fabric,12,4,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,25;28,user_7201;user_7211;user_7221;user_7231;structural_7207;structural_7217;structural_7227;structural_7237,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX68,X16Y4_RMUX75,fabric,16,4,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,35;38,user_7201;structural_7207,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X16Y4_RMUX75,X16Y5_RMUX15,fabric,16,5,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,36;38,user_7201;structural_7207,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X16Y5_RMUX15,X20Y5_RMUX69,fabric,20,5,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,35;38,user_7201;structural_7207,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X20Y5_RMUX69,X20Y9_RMUX92,fabric,20,9,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,22;29,user_7201;structural_7207,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X4Y5_BufMUX02,X4Y5_InputMUX02,mcu,4,5,InputMUX2,0,,user_7201;user_7211;user_7221;user_7231;structural_7207;structural_7217;structural_7227;structural_7237,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X4Y5_InputMUX02,X4Y4_RMUX15,fabric,4,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,33;39,user_7201;user_7211;user_7221;user_7231;structural_7207;structural_7217;structural_7227;structural_7237,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X4Y4_RMUX15,X8Y4_RMUX68,fabric,8,4,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,25;28,user_7201;user_7211;user_7221;user_7231;structural_7207;structural_7217;structural_7227;structural_7237,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X8Y4_RMUX68,X12Y4_RMUX74,fabric,12,4,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,25;28,user_7201;user_7211;user_7221;structural_7207;structural_7217;structural_7227,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX74,X16Y4_RMUX09,fabric,16,4,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,35;38,user_7201;user_7221;structural_7207;structural_7227,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X16Y4_RMUX09,X16Y5_RMUX39,fabric,16,5,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,36;38,user_7201;structural_7207,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X16Y5_RMUX39,X16Y9_RMUX68,fabric,16,9,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,22;29,user_7201;structural_7207,vendor-uart2-eight-seed-exact-simultaneous-route-composition
X16Y9_RMUX68,X20Y9_RMUX85,fabric,20,9,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;18,user_7201;structural_7207,vendor-uart2-eight-seed-exact-simultaneous-route-composition
