src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y12_BufMUX13,X14Y12_RMUX04,fabric,14,12,CFG_RMUX0,40;41;42;43;44;45;46;47;48;49,42;47,x13y12-egress-silicon-20260824
X13Y12_BufMUX13,X14Y12_RMUX08,fabric,14,12,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,22;27,x13y12-egress-silicon-20260824
X13Y12_BufMUX13,X14Y12_RMUX10,fabric,14,12,CFG_RMUX1,40;41;42;43;44;45;46;47;48;49,42;47,x13y12-egress-silicon-20260824
X13Y12_BufMUX13,X14Y12_RMUX15,fabric,14,12,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,32;37,x13y12-egress-silicon-20260824
X13Y12_BufMUX13,X14Y12_RMUX17,fabric,14,12,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,52;57,x13y12-egress-silicon-20260824
X13Y12_BufMUX13,X14Y12_RMUX23,fabric,14,12,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,52;57,haddr3-logic-xor-20260803
X14Y12_RMUX23,X14Y12_IMUX03,fabric,14,12,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,41;46,haddr3-logic-xor-20260803
