src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y12_OMUX02,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,30;37,vendor-local-int1
X14Y12_RMUX21,X14Y8_RMUX87,fabric,14,8,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,36;39,vendor-local-int1
X14Y8_RMUX87,X14Y4_RMUX63,fabric,14,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,36;39,vendor-local-int1
X14Y4_RMUX63,X13Y4_RMUX63,fabric,13,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,35;37,vendor-local-int1
X13Y4_RMUX63,X9Y4_RMUX63,fabric,9,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,31;38,vendor-local-int1
X9Y4_RMUX63,X5Y4_RMUX63,fabric,5,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,31;38,vendor-local-int1
X5Y4_RMUX63,X1Y4_RMUX69,fabric,1,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,31;38,vendor-local-int1
X1Y4_RMUX69,X1Y5_BBMUXS01,mcu,1,5,BBMUXS1,0;1;2;3;4;5;6;7;8,3;6,vendor-local-int1

