src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X10Y4_RMUX18,X9Y4_IMUX03,fabric,9,4,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,36;46,vendor-resetn-fabric-lut
X13Y5_BufMUX19,X14Y5_RMUX80,fabric,14,5,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,22;27,vendor-resetn-fabric-lut
X14Y4_RMUX26,X10Y4_RMUX18,fabric,10,4,CFG_RMUX3,0;1;2;3;4;5;6;7;8;9,1;8,vendor-resetn-fabric-lut
X14Y5_RMUX80,X14Y4_RMUX26,fabric,14,4,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,23;29,vendor-resetn-fabric-lut
