net,step,src_wire,dst_wire,evidence
hrdata3,0,X14Y11_OMUX11,X14Y11_RMUX14,2026-08-04-l48-scratch4-posted-address-tag-pure-open
hrdata3,1,X14Y11_RMUX14,X14Y9_RMUX51,2026-08-04-l48-scratch4-posted-address-tag-pure-open
hrdata3,2,X14Y9_RMUX51,X15Y9_RMUX20,2026-08-04-l48-scratch4-posted-address-tag-pure-open
hrdata3,3,X15Y9_RMUX20,X14Y9_RMUX75,2026-08-04-l48-scratch4-posted-address-tag-pure-open
hrdata3,4,X14Y9_RMUX75,X14Y12_RMUX20,2026-08-04-l48-scratch4-posted-address-tag-pure-open
hrdata3,5,X14Y12_RMUX20,X13Y12_BBMUXE05,2026-08-04-l48-scratch4-posted-address-tag-pure-open
hrdata3,6,X13Y12_BBMUXE05,X0Y5_SinkMUXPseudo05,2026-08-04-l48-scratch4-posted-address-tag-pure-open
haddr2_read3,0,X13Y12_BufMUX12,X14Y12_RMUX14,2026-08-04-l48-scratch4-haddr2-read-gate
haddr2_read3,1,X14Y12_RMUX14,X14Y11_RMUX57,2026-08-04-l48-scratch4-haddr2-read-gate
haddr2_read3,2,X14Y11_RMUX57,X14Y11_RMUX59,2026-08-04-l48-scratch4-haddr2-read-gate
haddr2_read3,3,X14Y11_RMUX59,X14Y11_IMUX13,2026-08-04-l48-scratch4-haddr2-read-gate
hwdata3_alt,0,X13Y10_BufMUX05,X13Y10_InputMUX05,2026-08-04-l48-scratch4-hwdata3-alt-corridor
hwdata3_alt,1,X13Y10_InputMUX05,X15Y10_RMUX44,2026-08-04-l48-scratch4-hwdata3-alt-corridor
hwdata3_alt,2,X15Y10_RMUX44,X15Y9_RMUX75,2026-08-04-l48-scratch4-hwdata3-alt-corridor
hwdata3_alt,3,X15Y9_RMUX75,X15Y12_RMUX11,2026-08-04-l48-scratch4-hwdata3-alt-corridor
hwdata3_alt,4,X15Y12_RMUX11,X15Y12_IMUX01,2026-08-04-l48-scratch4-hwdata3-alt-corridor
scratch3_read,0,X15Y12_OMUX02,X15Y12_RMUX08,2026-08-04-l48-scratch4-storage-to-read-gate
scratch3_read,1,X15Y12_RMUX08,X16Y12_RMUX37,2026-08-04-l48-scratch4-storage-to-read-gate
scratch3_read,2,X16Y12_RMUX37,X16Y11_RMUX49,2026-08-04-l48-scratch4-storage-to-read-gate
scratch3_read,3,X16Y11_RMUX49,X14Y11_RMUX16,2026-08-04-l48-scratch4-storage-to-read-gate
scratch3_read,4,X14Y11_RMUX16,X14Y11_IMUX12,2026-08-04-l48-scratch4-storage-to-read-gate
commit_storage3,0,X17Y12_OMUX02,X17Y12_RMUX21,2026-08-04-l48-scratch4-commit-to-storage
commit_storage3,1,X17Y12_RMUX21,X17Y11_RMUX92,2026-08-04-l48-scratch4-commit-to-storage
commit_storage3,2,X17Y11_RMUX92,X17Y12_RMUX80,2026-08-04-l48-scratch4-commit-to-storage
commit_storage3,3,X17Y12_RMUX80,X17Y11_RMUX33,2026-08-04-l48-scratch4-commit-to-storage
commit_storage3,4,X17Y11_RMUX33,X15Y11_RMUX39,2026-08-04-l48-scratch4-commit-to-storage
commit_storage3,5,X15Y11_RMUX39,X15Y12_RMUX58,2026-08-04-l48-scratch4-commit-to-storage
commit_storage3,6,X15Y12_RMUX58,X15Y12_IMUX00,2026-08-04-l48-scratch4-commit-to-storage
