signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hrdata[17],X13Y8_BufMUX13,X14Y8_RMUX23,fabric,14,8,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,52;57,vendor-slave-ahb-hrdata17-20
slave_ahb_hrdata[17],X14Y8_RMUX23,X14Y8_IMUX03,fabric,14,8,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,41;46,vendor-slave-ahb-hrdata17-20
slave_ahb_hrdata[18],X13Y8_BufMUX14,X14Y8_RMUX40,fabric,14,8,CFG_RMUX6,40;41;42;43;44;45;46;47;48;49,40;47,vendor-slave-ahb-hrdata17-20
slave_ahb_hrdata[18],X14Y8_RMUX40,X14Y8_IMUX00,fabric,14,8,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,8;10,vendor-slave-ahb-hrdata17-20
slave_ahb_hrdata[19],X13Y8_BufMUX15,X14Y8_RMUX28,fabric,14,8,CFG_RMUX4,40;41;42;43;44;45;46;47;48;49,42;47,vendor-slave-ahb-hrdata17-20
slave_ahb_hrdata[19],X14Y8_RMUX28,X14Y8_IMUX02,fabric,14,8,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,30;34,vendor-slave-ahb-hrdata17-20
slave_ahb_hrdata[20],X13Y8_BufMUX16,X14Y8_RMUX59,fabric,14,8,CFG_RMUX9,50;51;52;53;54;55;56;57;58;59,50;57,vendor-slave-ahb-hrdata17-20
slave_ahb_hrdata[20],X14Y8_RMUX59,X14Y8_IMUX01,fabric,14,8,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,14;23,vendor-slave-ahb-hrdata17-20
