# Dedicated-carry seams observed in the vendor corpus.
# Harvested 2026-08-15 from 3,842 af.exe routed netlists (2,202 with carry,
# 1,005,996 carry links, 19,790 inter-tile crossings). Dedicated carry is NOT
# in route.tx (carry nets decode to an empty path); it lives in PLACEMENT, so
# this is harvested from *_routed.v .Cin()/.Cout() plus defparam coord_x/y/z.
# Two invariants hold with zero exceptions across all 19,790 crossings:
#   direction is always (x,y) -> (x,y-1)   [same column, one tile down]
#   endpoints are always SLICE15 -> SLICE0
# 113 of the 113 geometrically possible seams appear; least-witnessed has 9
# independent designs. Observation of a seam is NOT a conduction claim.
src_x,src_y,dst_x,dst_y,n_designs,example_route_tx
16,11,16,10,112,tools/lab/rrg_1090/alta_db/route.tx
10,3,10,2,111,tools/lab/rrg_1086/alta_db/route.tx
12,3,12,2,111,tools/lab/rrg_1042/alta_db/route.tx
14,12,14,11,109,tools/lab/rrg_1014/alta_db/route.tx
4,2,4,1,107,tools/lab/rrg_1048/alta_db/route.tx
19,12,19,11,107,tools/lab/intra_andtree32/alta_db/route.tx
18,11,18,10,106,tools/lab/rrg_1000/alta_db/route.tx
18,12,18,11,105,tools/lab/rrg_1012/alta_db/route.tx
6,3,6,2,102,tools/lab/rrg_1088/alta_db/route.tx
20,9,20,8,102,tools/lab/rrg_1008/alta_db/route.tx
7,3,7,2,98,tools/lab/rrg_1018/alta_db/route.tx
4,4,4,3,93,tools/lab/rrg_10/alta_db/route.tx
17,11,17,10,91,tools/lab/rrg_1004/alta_db/route.tx
14,11,14,10,89,tools/lab/rrg_1000/alta_db/route.tx
3,2,3,1,86,tools/lab/rrg_1040/alta_db/route.tx
3,4,3,3,78,tools/lab/rrg_1126/alta_db/route.tx
5,3,5,2,75,tools/lab/rrg_1010/alta_db/route.tx
20,11,20,10,65,tools/lab/dense_cnt32/alta_db/route.tx
2,2,2,1,62,tools/lab/rrg_1016/alta_db/route.tx
4,3,4,2,44,tools/lab/rrg_1018/alta_db/route.tx
3,3,3,2,37,tools/lab/rrg_1250/alta_db/route.tx
2,4,2,3,36,tools/lab/rrg_1136/alta_db/route.tx
1,4,1,3,21,tools/lab/rrg_1256/alta_db/route.tx
1,2,1,1,16,tools/lab/rrg_1336/alta_db/route.tx
2,3,2,2,15,tools/lab/rrg_1302/alta_db/route.tx
1,3,1,2,9,tools/lab/rrg_2028/alta_db/route.tx
