signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hrdata[12],X14Y8_RMUX52,X14Y8_IMUX06,fabric,14,8,CFG_IMUX1,24;25;26;27;28;29;30;31;32;33;34;35,25;35,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[13],X13Y8_BufMUX09,X13Y8_InputMUX09,mcu,13,8,InputMUX9,0,0,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[13],X13Y8_InputMUX09,X15Y8_RMUX95,fabric,15,8,CFG_RMUX15,50;51;52;53;54;55;56;57;58;59,53;58,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[13],X15Y8_RMUX95,X15Y8_IMUX31,fabric,15,8,CFG_IMUX7,36;37;38;39;40;41;42;43;44;45;46;47,44;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[14],X13Y8_BufMUX10,X13Y8_InputMUX11,mcu,13,8,InputMUX11,0,,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[14],X13Y8_InputMUX11,X14Y8_RMUX76,fabric,14,8,CFG_RMUX12,40;41;42;43;44;45;46;47;48;49,42;48,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[14],X14Y8_RMUX76,X14Y8_IMUX04,fabric,14,8,CFG_IMUX1,0;1;2;3;4;5;6;7;8;9;10;11,5;11,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[15],X13Y8_BufMUX11,X13Y8_InputMUX10,mcu,13,8,InputMUX10,0,0,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[15],X13Y8_InputMUX10,X14Y8_RMUX81,fabric,14,8,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,32;38,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[15],X14Y8_RMUX81,X14Y8_RMUX83,fabric,14,8,CFG_RMUX13,50;51;52;53;54;55;56;57;58;59,54;57,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[15],X14Y8_RMUX83,X14Y8_IMUX05,fabric,14,8,CFG_IMUX1,12;13;14;15;16;17;18;19;20;21;22;23,18;23,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[16],X13Y8_BufMUX12,X14Y8_RMUX22,fabric,14,8,CFG_RMUX3,40;41;42;43;44;45;46;47;48;49,40;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[16],X14Y8_RMUX22,X14Y8_IMUX26,fabric,14,8,CFG_IMUX6,24;25;26;27;28;29;30;31;32;33;34;35,29;34,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[17],X13Y8_BufMUX13,X14Y8_RMUX17,fabric,14,8,CFG_RMUX2,50;51;52;53;54;55;56;57;58;59,52;57,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[17],X14Y8_RMUX17,X14Y8_IMUX27,fabric,14,8,CFG_IMUX6,36;37;38;39;40;41;42;43;44;45;46;47,40;46,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[18],X13Y8_BufMUX14,X14Y8_RMUX46,fabric,14,8,CFG_RMUX7,40;41;42;43;44;45;46;47;48;49,40;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[18],X14Y8_RMUX46,X14Y8_IMUX24,fabric,14,8,CFG_IMUX6,0;1;2;3;4;5;6;7;8;9;10;11,0;11,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[19],X13Y8_BufMUX15,X14Y8_RMUX41,fabric,14,8,CFG_RMUX6,50;51;52;53;54;55;56;57;58;59,52;57,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[19],X14Y8_RMUX41,X14Y8_IMUX25,fabric,14,8,CFG_IMUX6,12;13;14;15;16;17;18;19;20;21;22;23,20;22,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[20],X13Y8_BufMUX16,X14Y8_RMUX64,fabric,14,8,CFG_RMUX10,40;41;42;43;44;45;46;47;48;49,40;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[20],X14Y8_RMUX64,X14Y8_IMUX30,fabric,14,8,CFG_IMUX7,24;25;26;27;28;29;30;31;32;33;34;35,27;35,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[21],X13Y8_BufMUX17,X14Y8_RMUX71,fabric,14,8,CFG_RMUX11,50;51;52;53;54;55;56;57;58;59,52;57,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[21],X14Y8_RMUX71,X14Y8_IMUX31,fabric,14,8,CFG_IMUX7,36;37;38;39;40;41;42;43;44;45;46;47,40;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[22],X13Y8_BufMUX18,X14Y8_RMUX94,fabric,14,8,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,40;47,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[22],X14Y8_RMUX94,X14Y8_IMUX28,fabric,14,8,CFG_IMUX7,0;1;2;3;4;5;6;7;8;9;10;11,8;11,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[23],X13Y8_BufMUX19,X14Y8_RMUX89,fabric,14,8,CFG_RMUX14,50;51;52;53;54;55;56;57;58;59,52;57,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[23],X14Y8_RMUX89,X14Y8_IMUX29,fabric,14,8,CFG_IMUX7,12;13;14;15;16;17;18;19;20;21;22;23,19;23,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[24],X13Y7_BufMUX00,X13Y7_InputMUX01,mcu,13,7,InputMUX1,0,,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[24],X13Y7_InputMUX01,X14Y7_RMUX19,fabric,14,7,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,12;18,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[24],X14Y7_RMUX19,X14Y8_RMUX88,fabric,14,8,CFG_RMUX14,40;41;42;43;44;45;46;47;48;49,46;48,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[24],X14Y8_RMUX88,X14Y8_IMUX08,fabric,14,8,CFG_IMUX2,0;1;2;3;4;5;6;7;8;9;10;11,7;11,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[25],X13Y7_BufMUX01,X13Y7_InputMUX00,mcu,13,7,InputMUX0,0,0,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[25],X13Y7_InputMUX00,X15Y7_RMUX07,fabric,15,7,CFG_RMUX1,10;11;12;13;14;15;16;17;18;19,13;18,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[25],X15Y7_RMUX07,X15Y6_RMUX25,fabric,15,6,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,13;19,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[25],X15Y6_RMUX25,X15Y8_RMUX06,fabric,15,8,CFG_RMUX1,0;1;2;3;4;5;6;7;8;9,0;9,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[25],X15Y8_RMUX06,X14Y8_IMUX09,fabric,14,8,CFG_IMUX2,12;13;14;15;16;17;18;19;20;21;22;23,12;22,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[26],X13Y7_BufMUX02,X13Y7_InputMUX02,mcu,13,7,InputMUX2,0,,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[26],X13Y7_InputMUX02,X15Y7_RMUX20,fabric,15,7,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,23;28,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[26],X15Y7_RMUX20,X14Y7_RMUX75,fabric,14,7,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,35;37,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[26],X14Y7_RMUX75,X14Y8_RMUX04,fabric,14,8,CFG_RMUX0,40;41;42;43;44;45;46;47;48;49,46;48,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[26],X14Y8_RMUX04,X14Y8_IMUX10,fabric,14,8,CFG_IMUX2,24;25;26;27;28;29;30;31;32;33;34;35,26;34,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[27],X13Y7_BufMUX03,X13Y7_InputMUX03,mcu,13,7,InputMUX3,0,0,vendor-slave-ahb-hrdata0-31
