pin,x,y,z,edge
PIN_2,22,2,3,RIGHT
PIN_8,22,3,3,RIGHT
PIN_9,22,3,2,RIGHT
PIN_10,22,3,1,RIGHT
PIN_11,22,3,0,RIGHT
PIN_14,20,13,1,TOP
PIN_15,20,13,2,TOP
PIN_16,20,13,3,TOP
PIN_17,19,13,3,TOP
PIN_20,19,13,2,TOP
PIN_21,19,13,1,TOP
PIN_22,19,13,0,TOP
PIN_23,18,13,3,TOP
PIN_24,18,13,2,TOP
PIN_25,18,13,1,TOP
PIN_26,18,13,0,TOP
PIN_27,17,13,3,TOP
PIN_28,17,13,2,TOP
PIN_29,16,13,2,TOP
PIN_30,16,13,1,TOP
PIN_31,14,13,0,TOP
PIN_33,0,4,0,LEFT
PIN_34,0,4,1,LEFT
PIN_35,0,4,2,LEFT
PIN_36,0,4,3,LEFT
PIN_37,0,2,0,LEFT
PIN_38,0,2,1,LEFT
PIN_39,0,2,2,LEFT
PIN_40,0,2,3,LEFT
PIN_41,0,2,4,LEFT
PIN_42,0,2,5,LEFT
PIN_43,0,1,0,LEFT
PIN_44,0,1,2,LEFT
PIN_45,0,1,3,LEFT
PIN_46,0,1,4,LEFT
PIN_47,0,1,5,LEFT
PIN_49,1,0,0,BOTTOM
PIN_50,1,0,1,BOTTOM
PIN_51,1,0,2,BOTTOM
PIN_52,1,0,3,BOTTOM
PIN_53,6,0,0,BOTTOM
PIN_54,7,0,1,BOTTOM
PIN_55,17,0,0,BOTTOM
PIN_56,17,0,1,BOTTOM
PIN_57,17,0,2,BOTTOM
PIN_58,18,0,0,BOTTOM
PIN_59,18,0,1,BOTTOM
PIN_61,19,0,1,BOTTOM
PIN_62,19,0,3,BOTTOM
