"edge","template","column","routes","source"
"RMUX33@1,4->RMUX45@1,4","RMUX33(+0,+0)->RMUX45","1","2","afexe_bitgen_20260919"
"RMUX51@1,4->RMUX15@1,4","RMUX51(+0,+0)->RMUX15","1","2","afexe_bitgen_20260919"
"RMUX57@1,4->RMUX45@1,4","RMUX57(+0,+0)->RMUX45","1","2","afexe_bitgen_20260919"
"RMUX67@1,4->RMUX72@1,4","RMUX67(+0,+0)->RMUX72","1","2","afexe_bitgen_20260919"
"RMUX73@1,4->RMUX1@1,4","RMUX73(+0,+0)->RMUX1","1","2","afexe_bitgen_20260919"
"RMUX75@1,4->RMUX10@1,3","RMUX75(+0,+1)->RMUX10","1","2","afexe_bitgen_20260919"
"RMUX8@2,1->RMUX26@1,1","RMUX8(+1,+0)->RMUX26","1","2","afexe_bitgen_20260919"
"RMUX8@2,1->RMUX27@1,1","RMUX8(+1,+0)->RMUX27","1","2","afexe_bitgen_20260919"
"RMUX8@2,1->RMUX33@1,1","RMUX8(+1,+0)->RMUX33","1","2","afexe_bitgen_20260919"
"RMUX8@2,1->RMUX37@1,1","RMUX8(+1,+0)->RMUX37","1","2","afexe_bitgen_20260919"
"RMUX15@2,1->RMUX63@1,1","RMUX15(+1,+0)->RMUX63","1","2","afexe_bitgen_20260919"
"RMUX25@2,1->RMUX0@2,1","RMUX25(+0,+0)->RMUX0","2","2","afexe_bitgen_20260919"
"RMUX25@2,1->RMUX1@2,1","RMUX25(+0,+0)->RMUX1","2","2","afexe_bitgen_20260919"
"RMUX27@2,1->RMUX4@2,2","RMUX27(+0,-1)->RMUX4","2","2","afexe_bitgen_20260919"
"RMUX27@2,1->RMUX11@2,2","RMUX27(+0,-1)->RMUX11","2","2","afexe_bitgen_20260919"
"RMUX27@2,1->RMUX15@2,2","RMUX27(+0,-1)->RMUX15","2","2","afexe_bitgen_20260919"
"RMUX38@2,1->RMUX50@1,1","RMUX38(+1,+0)->RMUX50","1","2","afexe_bitgen_20260919"
"RMUX45@2,1->RMUX86@1,1","RMUX45(+1,+0)->RMUX86","1","2","afexe_bitgen_20260919"
"RMUX51@2,1->RMUX15@2,1","RMUX51(+0,+0)->RMUX15","2","2","afexe_bitgen_20260919"
"RMUX57@2,1->RMUX34@2,2","RMUX57(+0,-1)->RMUX34","2","2","afexe_bitgen_20260919"
"RMUX68@2,1->RMUX80@1,1","RMUX68(+1,+0)->RMUX80","1","2","afexe_bitgen_20260919"
"RMUX68@2,1->RMUX85@1,1","RMUX68(+1,+0)->RMUX85","1","2","afexe_bitgen_20260919"
"RMUX80@2,1->RMUX26@2,3","RMUX80(+0,-2)->RMUX26","2","2","afexe_bitgen_20260919"
"RMUX91@2,1->RMUX72@1,1","RMUX91(+1,+0)->RMUX72","1","2","afexe_bitgen_20260919"
"RMUX91@2,1->RMUX89@1,1","RMUX91(+1,+0)->RMUX89","1","2","afexe_bitgen_20260919"
"RMUX92@2,1->RMUX81@2,1","RMUX92(+0,+0)->RMUX81","2","2","afexe_bitgen_20260919"
"RMUX8@2,2->RMUX26@1,2","RMUX8(+1,+0)->RMUX26","1","2","afexe_bitgen_20260919"
"RMUX8@2,2->RMUX27@1,2","RMUX8(+1,+0)->RMUX27","1","2","afexe_bitgen_20260919"
"RMUX8@2,2->RMUX33@1,2","RMUX8(+1,+0)->RMUX33","1","2","afexe_bitgen_20260919"
"RMUX8@2,2->RMUX37@1,2","RMUX8(+1,+0)->RMUX37","1","2","afexe_bitgen_20260919"
"RMUX9@2,2->RMUX38@2,1","RMUX9(+0,+1)->RMUX38","2","2","afexe_bitgen_20260919"
"RMUX9@2,2->RMUX38@2,2","RMUX9(+0,+0)->RMUX38","2","2","afexe_bitgen_20260919"
"RMUX15@2,2->RMUX63@1,2","RMUX15(+1,+0)->RMUX63","1","2","afexe_bitgen_20260919"
"RMUX19@2,2->RMUX88@2,1","RMUX19(+0,+1)->RMUX88","2","2","afexe_bitgen_20260919"
"RMUX19@2,2->RMUX89@2,1","RMUX19(+0,+1)->RMUX89","2","2","afexe_bitgen_20260919"
"RMUX19@2,2->RMUX95@2,1","RMUX19(+0,+1)->RMUX95","2","2","afexe_bitgen_20260919"
"RMUX25@2,2->RMUX0@2,2","RMUX25(+0,+0)->RMUX0","2","2","afexe_bitgen_20260919"
"RMUX25@2,2->RMUX1@2,2","RMUX25(+0,+0)->RMUX1","2","2","afexe_bitgen_20260919"
"RMUX37@2,2->RMUX48@2,4","RMUX37(+0,-2)->RMUX48","2","2","afexe_bitgen_20260919"
"RMUX38@2,2->RMUX50@1,2","RMUX38(+1,+0)->RMUX50","1","2","afexe_bitgen_20260919"
"RMUX39@2,2->RMUX52@2,1","RMUX39(+0,+1)->RMUX52","2","2","afexe_bitgen_20260919"
"RMUX39@2,2->RMUX53@2,1","RMUX39(+0,+1)->RMUX53","2","2","afexe_bitgen_20260919"
"RMUX39@2,2->RMUX58@2,1","RMUX39(+0,+1)->RMUX58","2","2","afexe_bitgen_20260919"
"RMUX45@2,2->RMUX86@1,2","RMUX45(+1,+0)->RMUX86","1","2","afexe_bitgen_20260919"
"RMUX51@2,2->RMUX15@2,2","RMUX51(+0,+0)->RMUX15","2","2","afexe_bitgen_20260919"
"RMUX55@2,2->RMUX31@2,1","RMUX55(+0,+1)->RMUX31","2","2","afexe_bitgen_20260919"
"RMUX68@2,2->RMUX80@1,2","RMUX68(+1,+0)->RMUX80","1","2","afexe_bitgen_20260919"
"RMUX68@2,2->RMUX85@1,2","RMUX68(+1,+0)->RMUX85","1","2","afexe_bitgen_20260919"
"RMUX69@2,2->RMUX93@2,1","RMUX69(+0,+1)->RMUX93","2","2","afexe_bitgen_20260919"
"RMUX73@2,2->RMUX0@2,4","RMUX73(+0,-2)->RMUX0","2","2","afexe_bitgen_20260919"
"RMUX75@2,2->RMUX10@2,1","RMUX75(+0,+1)->RMUX10","2","2","afexe_bitgen_20260919"
"RMUX80@2,2->RMUX26@2,4","RMUX80(+0,-2)->RMUX26","2","2","afexe_bitgen_20260919"
"RMUX91@2,2->RMUX72@1,2","RMUX91(+1,+0)->RMUX72","1","2","afexe_bitgen_20260919"
"RMUX91@2,2->RMUX89@1,2","RMUX91(+1,+0)->RMUX89","1","2","afexe_bitgen_20260919"
"RMUX7@2,3->RMUX25@2,3","RMUX7(+0,+0)->RMUX25","2","2","afexe_bitgen_20260919"
"RMUX8@2,3->RMUX26@1,3","RMUX8(+1,+0)->RMUX26","1","2","afexe_bitgen_20260919"
"RMUX8@2,3->RMUX27@1,3","RMUX8(+1,+0)->RMUX27","1","2","afexe_bitgen_20260919"
"RMUX8@2,3->RMUX33@1,3","RMUX8(+1,+0)->RMUX33","1","2","afexe_bitgen_20260919"
"RMUX8@2,3->RMUX37@1,3","RMUX8(+1,+0)->RMUX37","1","2","afexe_bitgen_20260919"
"RMUX14@2,3->RMUX61@2,4","RMUX14(+0,-1)->RMUX61","2","2","afexe_bitgen_20260919"
"RMUX15@2,3->RMUX63@1,3","RMUX15(+1,+0)->RMUX63","1","2","afexe_bitgen_20260919"
"RMUX27@2,3->RMUX4@2,4","RMUX27(+0,-1)->RMUX4","2","2","afexe_bitgen_20260919"
"RMUX27@2,3->RMUX11@2,4","RMUX27(+0,-1)->RMUX11","2","2","afexe_bitgen_20260919"
