src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res,cfg,source,tier
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX43,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX45,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX47,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX49,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX51,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX53,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX55,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX57,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX59,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX61,,enum_xbar,fanin
LogicTILE,1,1,RMUX11,LogicTILE,1,1,IMUX63,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX0,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX2,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX4,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX6,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX8,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX10,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX12,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX14,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX16,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX18,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX20,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX22,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX24,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX26,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX28,,enum_xbar,fanin
LogicTILE,1,1,RMUX16,LogicTILE,1,1,IMUX30,,enum_xbar,fanin
