src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X13Y12_BufMUX16,X14Y12_RMUX49,fabric,14,12,CFG_RMUX8,10;11;12;13;14;15;16;17;18;19,10;17,vendor-ahbraddr32
X13Y12_BufMUX16,X14Y12_RMUX68,fabric,14,12,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,20;27,vendor-ahbraddr32
X13Y12_BufMUX17,X14Y12_RMUX63,fabric,14,12,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,32;37,vendor-ahbraddr32
X13Y12_BufMUX17,X14Y12_RMUX67,fabric,14,12,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,12;17,vendor-ahbraddr32
X13Y12_BufMUX18,X14Y12_RMUX86,fabric,14,12,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,20;27,vendor-ahbraddr32
X13Y12_BufMUX19,X14Y12_RMUX93,fabric,14,12,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,32;37,vendor-ahbraddr32
X14Y10_RMUX85,X14Y12_RMUX54,fabric,14,12,CFG_RMUX9,0;1;2;3;4;5;6;7;8;9,0;9,vendor-ahbraddr32
X14Y11_OMUX14,X14Y11_RMUX32,fabric,14,11,CFG_RMUX5,20;21;22;23;24;25;26;27;28;29,20;27,vendor-ahbraddr32
X14Y11_OMUX41,X14Y11_RMUX93,fabric,14,11,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,31;37,vendor-ahbraddr32
X14Y11_RMUX17,X14Y11_IMUX19,fabric,14,11,CFG_IMUX4,36;37;38;39;40;41;42;43;44;45;46;47,40;46,vendor-ahbraddr32
X14Y11_RMUX19,X14Y12_RMUX79,fabric,14,12,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,16;18,vendor-ahbraddr32
X14Y11_RMUX25,X14Y12_RMUX00,fabric,14,12,CFG_RMUX0,0;1;2;3;4;5;6;7;8;9,6;8,vendor-ahbraddr32
X14Y11_RMUX32,X14Y12_RMUX43,fabric,14,12,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,16;18,vendor-ahbraddr32
X14Y11_RMUX44,X14Y10_RMUX85,fabric,14,10,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,13;19,vendor-ahbraddr32
X14Y11_RMUX65,X14Y11_IMUX55,fabric,14,11,CFG_IMUX13,36;37;38;39;40;41;42;43;44;45;46;47,39;47,vendor-ahbraddr32
X14Y11_RMUX75,X14Y11_RMUX20,fabric,14,11,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,25;29,vendor-ahbraddr32
X14Y11_RMUX85,X14Y12_RMUX48,fabric,14,12,CFG_RMUX8,0;1;2;3;4;5;6;7;8;9,6;8,vendor-ahbraddr32
X14Y11_RMUX92,X14Y11_RMUX90,fabric,14,11,CFG_RMUX15,0;1;2;3;4;5;6;7;8;9,5;9,vendor-ahbraddr32
X14Y12_RMUX14,X14Y11_RMUX60,fabric,14,11,CFG_RMUX10,0;1;2;3;4;5;6;7;8;9,3;9,vendor-ahbraddr32
X14Y12_RMUX21,X14Y11_RMUX92,fabric,14,11,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,23;29,vendor-ahbraddr32
X14Y12_RMUX37,X14Y11_RMUX54,fabric,14,11,CFG_RMUX9,0;1;2;3;4;5;6;7;8;9,3;9,vendor-ahbraddr32
X14Y12_RMUX44,X14Y11_RMUX84,fabric,14,11,CFG_RMUX14,0;1;2;3;4;5;6;7;8;9,3;9,vendor-ahbraddr32
X14Y12_RMUX67,X14Y11_RMUX72,fabric,14,11,CFG_RMUX12,0;1;2;3;4;5;6;7;8;9,3;9,vendor-ahbraddr32
X14Y12_RMUX68,X15Y12_RMUX80,fabric,15,12,CFG_RMUX13,20;21;22;23;24;25;26;27;28;29,22;28,vendor-ahbraddr32
X15Y11_RMUX20,X14Y11_RMUX85,fabric,14,11,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;17,vendor-ahbraddr32
X15Y11_RMUX43,X14Y11_RMUX78,fabric,14,11,CFG_RMUX13,0;1;2;3;4;5;6;7;8;9,5;7,vendor-ahbraddr32
X15Y12_RMUX80,X15Y11_RMUX43,fabric,15,11,CFG_RMUX7,10;11;12;13;14;15;16;17;18;19,13;19,vendor-ahbraddr32
