signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hrdata[9],X13Y8_BufMUX05,X13Y8_InputMUX05,mcu,13,8,InputMUX5,0,0,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[9],X13Y8_InputMUX05,X14Y8_RMUX29,fabric,14,8,CFG_RMUX4,50;51;52;53;54;55;56;57;58;59,52;58,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[9],X14Y8_RMUX29,X14Y8_IMUX01,fabric,14,8,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,18;22,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[10],X13Y8_BufMUX06,X13Y8_InputMUX06,mcu,13,8,InputMUX6,0,,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[10],X13Y8_InputMUX06,X14Y8_RMUX65,fabric,14,8,CFG_RMUX10,50;51;52;53;54;55;56;57;58;59,52;58,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[10],X14Y8_RMUX65,X14Y8_IMUX03,fabric,14,8,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,39;47,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[11],X13Y8_BufMUX07,X13Y8_InputMUX07,mcu,13,8,InputMUX7,0,0,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[11],X13Y8_InputMUX07,X15Y8_RMUX60,fabric,15,8,CFG_RMUX10,0;1;2;3;4;5;6;7;8;9,3;8,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[11],X15Y8_RMUX60,X14Y8_IMUX02,fabric,14,8,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,25;34,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[12],X13Y8_BufMUX08,X13Y8_InputMUX08,mcu,13,8,InputMUX8,0,,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[12],X13Y8_InputMUX08,X14Y8_RMUX58,fabric,14,8,CFG_RMUX9,40;41;42;43;44;45;46;47;48;49,42;48,vendor-slave-ahb-hrdata9-12
slave_ahb_hrdata[12],X14Y8_RMUX58,X14Y8_IMUX00,fabric,14,8,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,2;11,vendor-slave-ahb-hrdata9-12
