signal,logical_bit,step,src_wire,dst_wire,evidence
i2c1_scl_data,286,0,X12Y5_BufMUX11,X12Y5_InputMUX10,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_data,286,1,X12Y5_InputMUX10,X12Y4_RMUX74,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_data,286,2,X12Y4_RMUX74,X15Y4_RMUX09,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_data,286,3,X15Y4_RMUX09,X15Y5_RMUX39,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_data,286,4,X15Y5_RMUX39,X15Y9_RMUX68,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_data,286,5,X15Y9_RMUX68,X19Y9_RMUX85,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_data,286,6,X19Y9_RMUX85,X19Y13_RMUX16,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_data,286,7,X19Y13_RMUX16,X19Y13_IOMUX01,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,0,X11Y5_BufMUX07,X11Y5_InputMUX07,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,1,X11Y5_InputMUX07,X11Y4_RMUX51,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,2,X11Y4_RMUX51,X15Y4_RMUX15,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,3,X15Y4_RMUX15,X19Y4_RMUX69,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,4,X19Y4_RMUX69,X19Y5_RMUX92,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,5,X19Y5_RMUX92,X19Y9_RMUX75,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,6,X19Y9_RMUX75,X19Y13_RMUX04,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_oe,287,7,X19Y13_RMUX04,X19Y13_IOMUX05,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_input,288,0,X19Y13_InputMUX02,X19Y9_RMUX20,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_input,288,1,X19Y9_RMUX20,X15Y9_RMUX80,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_input,288,2,X15Y9_RMUX80,X15Y5_RMUX27,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_input,288,3,X15Y5_RMUX27,X15Y4_RMUX20,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_input,288,4,X15Y4_RMUX20,X11Y4_RMUX85,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_input,288,5,X11Y4_RMUX85,X11Y5_BBMUXS06,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_scl_input,288,6,X11Y5_BBMUXS06,X0Y5_SinkMUXPseudo139,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,0,X11Y5_BufMUX00,X11Y5_InputMUX01,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,1,X11Y5_InputMUX01,X11Y4_RMUX08,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,2,X11Y4_RMUX08,X15Y4_RMUX32,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,3,X15Y4_RMUX32,X15Y5_RMUX33,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,4,X15Y5_RMUX33,X16Y5_RMUX39,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,5,X16Y5_RMUX39,X16Y9_RMUX68,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,6,X16Y9_RMUX68,X20Y9_RMUX85,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,7,X20Y9_RMUX85,X20Y13_RMUX16,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_data,289,8,X20Y13_RMUX16,X20Y13_IOMUX02,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,0,X11Y5_BufMUX08,X11Y5_InputMUX08,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,1,X11Y5_InputMUX08,X11Y4_RMUX68,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,2,X11Y4_RMUX68,X12Y4_RMUX81,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,3,X12Y4_RMUX81,X16Y4_RMUX45,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,4,X16Y4_RMUX45,X20Y4_RMUX92,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,5,X20Y4_RMUX92,X20Y5_RMUX85,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,6,X20Y5_RMUX85,X20Y9_RMUX55,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,7,X20Y9_RMUX55,X20Y13_RMUX08,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_oe,290,8,X20Y13_RMUX08,X20Y13_IOMUX06,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_input,291,0,X20Y13_InputMUX04,X20Y9_RMUX26,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_input,291,1,X20Y9_RMUX26,X19Y9_RMUX03,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
i2c1_sda_input,291,2,X19Y9_RMUX03,X15Y9_RMUX21,vendor-i2c1-eight-seed-exact-simultaneous-route-composition
