src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y4_RMUX92,X14Y8_RMUX75,fabric,14,8,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,32;39,l48-x9-data5-silicon-20260804
X14Y8_RMUX75,X14Y12_RMUX20,fabric,14,12,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,22;29,l48-x9-data5-silicon-20260804
