src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX39,14,5,RMUX69,14,7,silicon_harvest
OMUX05,14,9,RMUX15,14,9,silicon_harvest
RMUX08,10,4,RMUX32,14,4,silicon_harvest
RMUX25,14,6,RMUX22,14,9,silicon_harvest
OMUX20,14,9,RMUX44,14,9,silicon_harvest
RMUX80,17,9,RMUX33,17,5,silicon_harvest
RMUX50,14,9,RMUX09,14,5,silicon_harvest
OMUX13,14,9,IMUX20,14,9,silicon_harvest
RMUX21,14,6,RMUX86,14,2,silicon_harvest
OMUX19,14,9,IMUX28,14,9,silicon_harvest
OMUX29,14,9,RMUX50,14,9,silicon_harvest
RMUX87,18,5,RMUX63,18,1,silicon_harvest
RMUX63,15,9,RMUX58,14,9,silicon_harvest
OMUX11,14,9,RMUX14,14,9,silicon_harvest
RMUX86,14,1,RMUX50,13,1,silicon_harvest
RMUX37,14,12,RMUX70,14,9,silicon_harvest
RMUX15,14,9,RMUX63,15,9,silicon_harvest
RMUX49,18,7,RMUX07,14,7,silicon_harvest
OMUX35,14,9,RMUX68,14,9,silicon_harvest
RMUX82,14,9,IMUX40,14,9,silicon_harvest
RMUX26,14,4,RMUX03,10,4,silicon_harvest
OMUX02,14,9,OMUX01,14,9,silicon_harvest
RMUX09,14,5,RMUX44,14,6,silicon_harvest
OMUX11,14,9,RMUX07,14,9,silicon_harvest
RMUX69,14,7,RMUX82,14,9,silicon_harvest
RMUX80,18,9,RMUX27,18,7,silicon_harvest
RMUX21,18,6,RMUX87,18,5,silicon_harvest
RMUX74,16,9,RMUX08,17,9,silicon_harvest
RMUX68,14,9,RMUX74,16,9,silicon_harvest
RMUX50,14,5,RMUX03,14,4,silicon_harvest
RMUX50,10,2,RMUX09,10,1,silicon_harvest
RMUX92,17,8,RMUX80,17,9,silicon_harvest
RMUX80,14,5,RMUX26,14,4,silicon_harvest
RMUX44,14,6,RMUX75,14,5,silicon_harvest
RMUX09,10,1,RMUX45,10,4,silicon_harvest
RMUX09,14,5,RMUX45,14,8,silicon_harvest
RMUX70,14,9,IMUX24,14,9,silicon_harvest
OMUX20,14,9,OMUX19,14,9,silicon_harvest
RMUX25,14,8,RMUX16,14,9,silicon_harvest
OMUX08,14,9,OMUX07,14,9,silicon_harvest
RMUX32,16,2,RMUX26,16,5,silicon_harvest
RMUX69,14,1,RMUX92,14,5,silicon_harvest
RMUX74,6,4,RMUX08,10,4,silicon_harvest
OMUX25,14,9,IMUX36,14,9,silicon_harvest
RMUX08,17,9,RMUX37,18,9,silicon_harvest
RMUX27,18,7,RMUX21,18,6,silicon_harvest
RMUX37,18,9,RMUX49,18,7,silicon_harvest
RMUX92,14,4,RMUX75,14,8,silicon_harvest
RMUX33,17,5,RMUX39,14,5,silicon_harvest
RMUX75,14,5,RMUX21,14,6,silicon_harvest
RMUX88,14,9,IMUX32,14,9,silicon_harvest
RMUX86,14,2,RMUX50,10,2,silicon_harvest
RMUX09,14,3,RMUX39,14,4,silicon_harvest
OMUX01,14,9,IMUX04,14,9,silicon_harvest
RMUX45,14,8,RMUX92,17,8,silicon_harvest
RMUX22,14,9,IMUX00,14,9,silicon_harvest
