signal,logical_bit,step,src_wire,dst_wire,evidence
uart0_txd_data,6,0,X6Y5_BufMUX05,X6Y5_InputMUX05,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,1,X6Y5_InputMUX05,X6Y4_RMUX38,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,2,X6Y4_RMUX38,X8Y4_RMUX51,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,3,X8Y4_RMUX51,X12Y4_RMUX15,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,4,X12Y4_RMUX15,X16Y4_RMUX68,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,5,X16Y4_RMUX68,X20Y4_RMUX85,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,6,X20Y4_RMUX85,X20Y5_RMUX55,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,7,X20Y5_RMUX55,X20Y9_RMUX25,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,8,X20Y9_RMUX25,X20Y13_RMUX00,vendor-uart0-tx-pin10-20260814
uart0_txd_data,6,9,X20Y13_RMUX00,X20Y13_IOMUX01,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,0,X5Y5_BufMUX02,X5Y5_InputMUX02,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,1,X5Y5_InputMUX02,X5Y4_RMUX15,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,2,X5Y4_RMUX15,X8Y4_RMUX68,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,3,X8Y4_RMUX68,X12Y4_RMUX81,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,4,X12Y4_RMUX81,X16Y4_RMUX45,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,5,X16Y4_RMUX45,X20Y4_RMUX92,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,6,X20Y4_RMUX92,X20Y5_RMUX85,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,7,X20Y5_RMUX85,X20Y9_RMUX55,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,8,X20Y9_RMUX55,X20Y13_RMUX08,vendor-uart0-tx-pin10-20260814
uart0_txd_oe,6,9,X20Y13_RMUX08,X20Y13_IOMUX05,vendor-uart0-tx-pin10-20260814
