signal_token,target_bel,target_pin,evidence
mcu_hwrite,X14Y12_SLICE0,0,ahb-write-qualifier-silicon
mcu_htrans1,X14Y12_SLICE0,1,ahb-write-qualifier-silicon
mcu_hwdata0,X14Y11_SLICE5,1,2026-08-04-l48-hwdata0-busclock-capture-exact-site
mcu_hwdata7,X14Y11_SLICE0,1,hwdata7-group1-silicon
