signal,logical_bit,step,src_wire,dst_wire,evidence
local_int,2,0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-local-int2
local_int,2,1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-local-int2
local_int,2,2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-local-int2
local_int,2,3,X14Y4_RMUX63,X13Y4_RMUX63,vendor-local-int2
local_int,2,4,X13Y4_RMUX63,X9Y4_RMUX63,vendor-local-int2
local_int,2,5,X9Y4_RMUX63,X5Y4_RMUX63,vendor-local-int2
local_int,2,6,X5Y4_RMUX63,X1Y4_RMUX69,vendor-local-int2
local_int,2,7,X1Y4_RMUX69,X1Y5_BBMUXS02,vendor-local-int2
local_int,2,8,X1Y5_BBMUXS02,X0Y5_SinkMUXPseudo217,vendor-local-int2

