x,y,mux,sel_index,byte,mask
1,5,SeamMUX2,3,64770,1
1,5,SeamMUX2,4,64770,2
1,5,SeamMUX2,5,64770,4
1,5,SeamMUX3,0,65235,32
1,5,SeamMUX3,1,65235,64
1,5,SeamMUX3,2,65235,128
1,5,SeamMUX3,3,65234,1
1,5,SeamMUX3,4,65234,2
1,5,SeamMUX3,5,65234,4
1,5,SeamMUX4,0,65467,32
1,5,SeamMUX4,1,65467,64
1,5,SeamMUX4,2,65467,128
1,5,SeamMUX4,3,65466,1
1,5,SeamMUX4,4,65466,2
1,5,SeamMUX4,5,65466,4
1,5,SeamMUX5,0,65699,32
1,5,SeamMUX5,1,65699,64
1,5,SeamMUX5,2,65699,128
1,5,SeamMUX5,3,65698,1
1,5,SeamMUX5,4,65698,2
1,5,SeamMUX5,5,65698,4
1,5,SeamMUX6,0,64305,1
1,5,SeamMUX6,1,64306,128
1,5,SeamMUX6,2,64306,64
1,5,SeamMUX6,3,64306,32
1,5,SeamMUX6,4,64306,16
1,5,SeamMUX6,5,64306,8
1,5,SeamMUX7,0,64537,1
1,5,SeamMUX7,1,64538,128
1,5,SeamMUX7,2,64538,64
1,5,SeamMUX7,3,64538,32
1,5,SeamMUX7,4,64538,16
1,5,SeamMUX7,5,64538,8
1,5,SeamMUX8,0,64769,1
1,5,SeamMUX8,1,64770,128
1,5,SeamMUX8,2,64770,64
1,5,SeamMUX8,3,64770,32
1,5,SeamMUX8,4,64770,16
1,5,SeamMUX8,5,64770,8
1,5,SeamMUX9,0,65233,1
1,5,SeamMUX9,1,65234,128
1,5,SeamMUX9,2,65234,64
1,5,SeamMUX9,3,65234,32
1,5,SeamMUX9,4,65234,16
1,5,SeamMUX9,5,65234,8
2,5,BBMUXS0,0,64303,1
2,5,BBMUXS0,1,64419,1
2,5,BBMUXS0,2,64303,2
2,5,BBMUXS0,3,64419,2
2,5,BBMUXS0,4,64303,4
2,5,BBMUXS0,5,64419,4
2,5,BBMUXS0,6,64303,8
2,5,BBMUXS0,7,64419,8
