signal,logical_bit,step,src_wire,dst_wire,evidence
local_int,1,0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-local-int1
local_int,1,1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-local-int1
local_int,1,2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-local-int1
local_int,1,3,X14Y4_RMUX63,X13Y4_RMUX63,vendor-local-int1
local_int,1,4,X13Y4_RMUX63,X9Y4_RMUX63,vendor-local-int1
local_int,1,5,X9Y4_RMUX63,X5Y4_RMUX63,vendor-local-int1
local_int,1,6,X5Y4_RMUX63,X1Y4_RMUX69,vendor-local-int1
local_int,1,7,X1Y4_RMUX69,X1Y5_BBMUXS01,vendor-local-int1
local_int,1,8,X1Y5_BBMUXS01,X0Y5_SinkMUXPseudo216,vendor-local-int1

