src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X18Y9_OMUX47,X18Y9_RMUX75,fabric,18,9,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,33;37,retained-independent-register-haddr2
X18Y9_RMUX75,X18Y10_RMUX20,fabric,18,10,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,26;28,retained-independent-register-haddr2
X18Y10_RMUX20,X14Y10_RMUX84,fabric,14,10,CFG_RMUX14,0;1;2;3;4;5;6;7;8;9,1;8,retained-independent-register-haddr2
X14Y10_RMUX84,X13Y10_BBMUXW01,mcu,13,10,BBMUXW1,0;1;2;3;4;5;6;7;8;9,2;7,retained-independent-register-haddr2
