logical_bit,source_bit,step,src_wire,dst_wire,evidence
3,3,0,X13Y12_BufMUX13,X14Y12_RMUX23,haddr3-logic-xor-20260803
3,3,1,X14Y12_RMUX23,X14Y12_IMUX03,haddr3-logic-xor-20260803
