logical_bit,step,src_wire,dst_wire,evidence
5,0,X13Y4_BufMUX13,X14Y4_RMUX75,vendor-routed-source-plus-corpus-downstream-not-qualified
5,1,X14Y4_RMUX75,X14Y8_RMUX15,vendor-routed-source-plus-corpus-downstream-not-qualified
5,2,X14Y8_RMUX15,X15Y8_RMUX69,vendor-routed-source-plus-corpus-downstream-not-qualified
5,3,X15Y8_RMUX69,X15Y12_RMUX93,vendor-routed-source-plus-corpus-downstream-not-qualified
5,4,X15Y12_RMUX93,X14Y12_RMUX86,vendor-routed-source-plus-corpus-downstream-not-qualified
5,5,X14Y12_RMUX86,X13Y12_BBMUXE07,vendor-routed-source-plus-corpus-downstream-not-qualified
5,6,X13Y12_BBMUXE07,X0Y5_SinkMUXPseudo07,vendor-routed-source-plus-corpus-downstream-not-qualified
