src_res,src_x,src_y,dst_res,dst_x,dst_y,sel_lo,sel_hi,passing_images,class
RMUX73,17,10,RMUX00,17,9,3,9,30,A
RMUX73,17,12,RMUX00,17,11,3,9,24,A
RMUX61,20,12,RMUX54,19,12,1,8,23,A
RMUX73,17,11,RMUX00,17,10,3,9,15,A
RMUX73,16,11,RMUX00,16,10,3,9,14,A
RMUX07,14,2,RMUX24,14,3,2,9,11,A
RMUX73,15,11,RMUX00,15,10,3,9,11,A
RMUX73,14,3,RMUX00,14,2,3,9,10,A
RMUX25,14,2,RMUX00,14,4,0,9,9,A
RMUX25,20,8,RMUX00,20,10,0,9,9,A
RMUX25,6,1,RMUX00,6,2,6,8,8,A
RMUX73,14,2,RMUX00,14,1,3,9,8,A
RMUX25,14,1,RMUX00,14,2,6,8,7,A
RMUX25,14,2,RMUX00,14,3,6,8,7,A
RMUX73,20,11,RMUX00,20,7,6,9,7,A
RMUX49,19,12,RMUX00,15,12,1,8,6,A
RMUX73,4,2,RMUX00,4,1,3,9,5,A
RMUX73,14,4,RMUX00,14,3,3,9,5,A
RMUX73,2,4,RMUX00,2,3,3,9,4,A
RMUX73,5,4,RMUX00,5,3,3,9,4,A
RMUX49,18,3,RMUX00,14,3,1,8,4,A
RMUX25,3,1,RMUX00,3,2,6,8,3,A
RMUX25,3,2,RMUX00,3,3,6,8,3,A
RMUX49,18,1,RMUX00,14,1,1,8,3,A
RMUX25,14,3,RMUX00,14,4,6,8,3,A
RMUX49,6,1,RMUX00,2,1,1,8,2,A
RMUX25,2,3,RMUX00,2,2,6,9,2,A
RMUX49,6,3,RMUX00,2,3,1,8,2,A
RMUX25,14,1,RMUX00,14,3,0,9,2,A
RMUX73,14,5,RMUX00,14,4,3,9,2,A
RMUX73,2,2,RMUX00,2,1,3,9,1,A
RMUX07,2,2,RMUX24,2,3,2,9,1,A
RMUX25,3,3,RMUX00,3,2,6,9,1,A
RMUX73,14,6,RMUX00,14,2,6,9,1,A
RMUX49,18,2,RMUX00,14,2,1,8,1,A
RMUX49,18,4,RMUX00,14,4,1,8,1,A
RMUX67,19,11,RMUX78,19,8,5,9,85,D
RMUX50,16,2,RMUX12,16,1,3,9,66,D
RMUX50,17,2,RMUX12,17,1,3,9,65,D
RMUX80,18,2,RMUX36,18,1,3,9,65,D
OMUX29,16,11,RMUX54,16,11,1,7,61,D
RMUX73,21,2,RMUX06,21,1,3,9,60,D
OMUX23,16,10,RMUX36,16,10,3,7,58,D
RMUX56,19,10,RMUX42,18,10,5,7,58,D
RMUX50,20,2,RMUX12,20,1,3,9,58,D
OMUX29,15,3,RMUX54,15,3,1,7,56,D
RMUX80,16,2,RMUX36,16,1,3,9,56,D
OMUX23,15,1,RMUX36,15,1,3,7,55,D
OMUX29,15,6,RMUX54,15,6,1,7,55,D
OMUX41,18,12,RMUX78,18,12,1,7,55,D
RMUX80,20,2,RMUX36,20,1,3,9,55,D
RMUX44,21,2,RMUX84,21,1,3,9,55,D
RMUX80,17,2,RMUX36,17,1,3,9,54,D
OMUX29,18,11,RMUX54,18,11,1,7,54,D
RMUX50,19,2,RMUX12,19,1,3,9,54,D
RMUX50,15,2,RMUX12,15,1,3,9,52,D
RMUX80,15,2,RMUX36,15,1,3,9,52,D
OMUX29,20,10,RMUX54,20,10,1,7,52,D
RMUX67,16,2,RMUX78,16,1,3,9,51,D
RMUX67,17,2,RMUX78,17,1,3,9,51,D
RMUX00,19,12,IMUX48,18,12,0,10,51,D
RMUX67,19,2,RMUX78,19,1,3,9,51,D
RMUX50,20,2,RMUX18,20,1,3,9,51,D
OMUX29,15,2,RMUX54,15,2,1,7,50,D
OMUX29,15,4,RMUX54,15,4,1,7,50,D
RMUX50,16,10,RMUX12,16,9,3,9,50,D
RMUX56,17,10,RMUX42,16,10,5,7,50,D
OMUX29,17,8,RMUX54,17,8,1,7,50,D
RMUX20,19,9,RMUX90,17,9,6,7,50,D
RMUX67,18,4,RMUX78,18,3,3,9,50,D
OMUX29,20,3,RMUX54,20,3,1,7,50,D
RMUX56,17,7,RMUX42,16,7,5,7,49,D
OMUX29,17,9,RMUX54,17,9,1,7,49,D
RMUX50,18,4,RMUX12,18,3,3,9,49,D
OMUX41,18,8,RMUX78,18,8,1,7,49,D
RMUX50,19,8,RMUX12,19,7,3,9,49,D
RMUX37,21,2,RMUX54,21,1,3,9,49,D
RMUX56,16,2,RMUX42,15,2,5,7,48,D
OMUX23,15,3,RMUX36,15,3,3,7,48,D
RMUX50,16,2,RMUX18,16,1,3,9,48,D
OMUX29,17,2,RMUX54,17,2,1,7,48,D
RMUX80,18,6,RMUX36,18,5,3,9,48,D
RMUX24,19,9,IMUX04,18,9,0,10,48,D
OMUX41,19,12,RMUX78,19,12,1,7,48,D
RMUX67,20,2,RMUX78,20,1,3,9,48,D
RMUX73,21,4,RMUX06,21,3,3,9,48,D
RMUX80,12,2,RMUX36,12,1,3,9,47,D
OMUX23,15,2,RMUX36,15,2,3,7,47,D
RMUX50,16,6,RMUX12,16,5,3,9,47,D
RMUX56,17,9,RMUX42,16,9,5,7,47,D
RMUX50,17,8,RMUX18,17,7,3,9,47,D
RMUX56,19,8,RMUX42,18,8,5,7,47,D
RMUX80,19,2,RMUX36,19,1,3,9,47,D
RMUX50,19,4,RMUX12,19,3,3,9,47,D
OMUX11,15,2,RMUX18,15,2,3,7,46,D
OMUX41,15,2,RMUX78,15,2,1,7,46,D
OMUX02,15,3,RMUX00,15,3,0,7,46,D
OMUX23,15,4,RMUX36,15,4,3,7,46,D
RMUX56,16,10,RMUX42,15,10,5,7,46,D
OMUX23,16,7,RMUX36,16,7,3,7,46,D
OMUX29,16,8,RMUX54,16,8,1,7,46,D
RMUX56,18,10,RMUX42,17,10,5,7,46,D
RMUX67,18,2,RMUX78,18,1,3,9,46,D
RMUX50,19,2,RMUX18,19,1,3,9,46,D
RMUX50,19,8,RMUX18,19,7,3,9,46,D
RMUX67,15,2,RMUX78,15,1,3,9,45,D
OMUX29,15,5,RMUX54,15,5,1,7,45,D
OMUX23,15,11,RMUX36,15,11,3,7,45,D
OMUX29,16,4,RMUX54,16,4,1,7,45,D
OMUX23,16,9,RMUX36,16,9,3,7,45,D
OMUX29,16,9,RMUX54,16,9,1,7,45,D
OMUX29,16,10,RMUX54,16,10,1,7,45,D
OMUX41,17,11,RMUX78,17,11,1,7,45,D
RMUX50,18,2,RMUX18,18,1,3,9,45,D
RMUX80,18,4,RMUX36,18,3,3,9,45,D
OMUX41,18,5,RMUX78,18,5,1,7,45,D
OMUX32,18,11,RMUX60,18,11,2,7,45,D
RMUX80,21,2,RMUX36,21,1,3,9,45,D
OMUX29,15,8,RMUX54,15,8,1,7,44,D
OMUX41,15,8,RMUX78,15,8,1,7,44,D
OMUX29,16,3,RMUX54,16,3,1,7,44,D
OMUX41,16,4,RMUX78,16,4,1,7,44,D
OMUX29,16,6,RMUX54,16,6,1,7,44,D
RMUX80,16,10,RMUX36,16,9,3,9,44,D
RMUX50,17,6,RMUX12,17,5,3,9,44,D
RMUX50,18,4,RMUX18,18,3,3,9,44,D
OMUX41,18,10,RMUX78,18,10,1,7,44,D
OMUX29,19,8,RMUX54,19,8,1,7,44,D
RMUX67,20,6,RMUX78,20,5,3,9,44,D
OMUX29,20,9,RMUX54,20,9,1,7,44,D
RMUX44,21,2,RMUX90,21,1,3,9,44,D
RMUX80,16,6,RMUX36,16,5,3,9,43,D
RMUX56,17,8,RMUX42,16,8,5,7,43,D
RMUX56,18,9,RMUX42,17,9,5,7,43,D
OMUX29,17,11,RMUX54,17,11,1,7,43,D
RMUX20,19,11,RMUX90,17,11,6,7,43,D
RMUX67,18,6,RMUX78,18,5,3,9,43,D
RMUX14,18,10,RMUX66,18,9,3,9,43,D
OMUX29,18,10,RMUX54,18,10,1,7,43,D
RMUX14,19,12,RMUX66,19,11,3,9,43,D
RMUX50,20,4,RMUX12,20,3,3,9,43,D
RMUX37,21,4,RMUX54,21,3,3,9,43,D
RMUX44,21,4,RMUX84,21,3,3,9,43,D
RMUX56,13,2,RMUX42,12,2,5,7,42,D
OMUX29,15,1,RMUX54,15,1,1,7,42,D
RMUX56,16,4,RMUX42,15,4,5,7,42,D
OMUX32,15,11,RMUX60,15,11,2,7,42,D
RMUX50,16,8,RMUX12,16,7,3,9,42,D
RMUX26,17,10,RMUX18,16,10,5,7,42,D
OMUX29,17,5,RMUX54,17,5,1,7,42,D
RMUX55,17,11,RMUX30,17,10,6,9,42,D
OMUX23,17,10,RMUX36,17,10,3,7,42,D
OMUX29,18,2,RMUX54,18,2,1,7,42,D
RMUX50,18,8,RMUX12,18,7,3,9,42,D
RMUX80,19,8,RMUX36,19,7,3,9,42,D
OMUX41,19,8,RMUX78,19,8,1,7,42,D
RMUX80,21,2,RMUX42,21,1,3,9,42,D
OMUX41,11,3,RMUX78,11,3,1,7,41,D
OMUX11,15,3,RMUX18,15,3,3,7,41,D
OMUX41,15,4,RMUX78,15,4,1,7,41,D
OMUX23,15,6,RMUX36,15,6,3,7,41,D
RMUX85,15,11,RMUX48,15,11,5,9,41,D
RMUX50,16,4,RMUX12,16,3,3,9,41,D
RMUX67,16,8,RMUX78,16,7,3,9,41,D
RMUX50,16,12,RMUX12,16,11,3,9,41,D
OMUX41,16,12,RMUX78,16,12,1,7,41,D
OMUX29,17,3,RMUX54,17,3,1,7,41,D
OMUX41,18,7,RMUX78,18,7,1,7,41,D
OMUX32,18,8,RMUX60,18,8,2,7,41,D
RMUX26,19,10,RMUX18,18,10,5,7,41,D
RMUX50,19,6,RMUX18,19,5,3,9,41,D
OMUX41,19,5,RMUX78,19,5,1,7,41,D
RMUX56,20,7,RMUX42,19,7,5,7,41,D
RMUX25,19,11,RMUX06,19,10,6,9,41,D
OMUX41,20,3,RMUX78,20,3,1,7,41,D
OMUX41,15,1,RMUX78,15,1,1,7,40,D
OMUX02,15,4,RMUX00,15,4,0,7,40,D
OMUX23,15,12,RMUX36,15,12,3,7,40,D
OMUX23,16,3,RMUX36,16,3,3,7,40,D
RMUX80,16,8,RMUX36,16,7,3,9,40,D
RMUX50,17,2,RMUX18,17,1,3,9,40,D
RMUX80,17,4,RMUX36,17,3,3,9,40,D
RMUX67,17,8,RMUX78,17,7,3,9,40,D
RMUX56,19,1,RMUX42,18,1,5,7,40,D
OMUX29,18,3,RMUX54,18,3,1,7,40,D
RMUX56,19,4,RMUX42,18,4,5,7,40,D
RMUX50,18,6,RMUX12,18,5,3,9,40,D
OMUX29,18,12,RMUX54,18,12,1,7,40,D
RMUX67,19,9,RMUX78,19,6,5,9,40,D
OMUX29,19,12,RMUX54,19,12,1,7,40,D
RMUX55,19,12,RMUX54,19,12,4,7,40,D
OMUX29,20,2,RMUX54,20,2,1,7,40,D
RMUX50,20,4,RMUX18,20,3,3,9,40,D
OMUX23,20,10,RMUX36,20,10,3,7,40,D
RMUX73,21,6,RMUX06,21,5,3,9,40,D
RMUX24,15,2,IMUX04,14,2,0,10,39,D
OMUX02,15,1,RMUX00,15,1,0,7,39,D
OMUX08,15,1,RMUX18,15,1,2,7,39,D
RMUX80,15,4,RMUX36,15,3,3,9,39,D
OMUX20,15,3,RMUX42,15,3,2,7,39,D
RMUX56,16,3,RMUX42,15,3,5,7,39,D
OMUX11,15,4,RMUX18,15,4,3,7,39,D
OMUX20,15,4,RMUX42,15,4,2,7,39,D
OMUX41,16,2,RMUX78,16,2,1,7,39,D
RMUX50,16,4,RMUX18,16,3,3,9,39,D
OMUX20,16,5,RMUX42,16,5,2,7,39,D
OMUX23,16,8,RMUX36,16,8,3,7,39,D
OMUX35,16,10,RMUX66,16,10,3,7,39,D
RMUX50,17,4,RMUX18,17,3,3,9,39,D
RMUX56,18,3,RMUX42,17,3,5,7,39,D
OMUX29,17,10,RMUX54,17,10,1,7,39,D
OMUX29,17,12,RMUX54,17,12,1,7,39,D
OMUX29,18,1,RMUX54,18,1,1,7,39,D
RMUX50,18,8,RMUX18,18,7,3,9,39,D
OMUX23,18,10,RMUX36,18,10,3,7,39,D
OMUX41,19,11,RMUX78,19,11,1,7,39,D
RMUX67,20,2,RMUX72,20,1,3,9,39,D
RMUX50,20,6,RMUX12,20,5,3,9,39,D
RMUX56,21,10,RMUX42,20,10,5,7,39,D
RMUX50,21,2,RMUX12,21,1,3,9,39,D
RMUX67,21,4,RMUX78,21,3,3,9,39,D
RMUX50,15,2,RMUX18,15,1,3,9,38,D
OMUX41,15,3,RMUX78,15,3,1,7,38,D
OMUX41,15,5,RMUX78,15,5,1,7,38,D
OMUX41,15,11,RMUX78,15,11,1,7,38,D
OMUX41,16,9,RMUX78,16,9,1,7,38,D
RMUX44,16,12,RMUX84,16,10,4,9,38,D
OMUX41,17,5,RMUX78,17,5,1,7,38,D
RMUX26,18,10,RMUX18,17,10,5,7,38,D
RMUX67,18,8,RMUX78,18,7,3,9,38,D
OMUX23,18,9,RMUX36,18,9,3,7,38,D
OMUX41,18,11,RMUX72,18,11,1,7,38,D
RMUX80,19,4,RMUX36,19,3,3,9,38,D
OMUX11,19,10,RMUX18,19,10,3,7,38,D
OMUX29,20,1,RMUX54,20,1,1,7,38,D
RMUX50,12,2,RMUX18,12,1,3,9,37,D
OMUX08,15,2,RMUX18,15,2,2,7,37,D
RMUX50,15,4,RMUX12,15,3,3,9,37,D
OMUX23,15,7,RMUX36,15,7,3,7,37,D
RMUX72,16,10,IMUX44,15,10,1,10,37,D
OMUX32,15,10,RMUX60,15,10,2,7,37,D
OMUX29,16,2,RMUX54,16,2,1,7,37,D
OMUX11,16,9,RMUX18,16,9,3,7,37,D
OMUX32,16,10,RMUX60,16,10,2,7,37,D
OMUX41,17,2,RMUX78,17,2,1,7,37,D
RMUX50,18,6,RMUX18,18,5,3,9,37,D
RMUX56,20,3,RMUX42,19,3,5,7,37,D
OMUX29,19,6,RMUX54,19,6,1,7,37,D
OMUX41,19,9,RMUX78,19,9,1,7,37,D
OMUX20,20,3,RMUX42,20,3,2,7,37,D
OMUX41,20,4,RMUX78,20,4,1,7,37,D
OMUX29,20,5,RMUX54,20,5,1,7,37,D
OMUX41,20,5,RMUX78,20,5,1,7,37,D
RMUX50,21,2,RMUX18,21,1,3,9,37,D
OMUX11,15,1,RMUX18,15,1,3,7,36,D
OMUX20,15,1,RMUX42,15,1,2,7,36,D
RMUX68,13,3,RMUX90,15,3,3,8,36,D
OMUX08,15,4,RMUX18,15,4,2,7,36,D
RMUX56,16,7,RMUX42,15,7,5,7,36,D
OMUX35,15,7,RMUX66,15,7,3,7,36,D
RMUX72,16,8,IMUX04,15,8,1,10,36,D
RMUX56,16,9,RMUX42,15,9,5,7,36,D
OMUX11,16,5,RMUX18,16,5,3,7,36,D
RMUX50,16,6,RMUX18,16,5,3,9,36,D
RMUX50,16,10,RMUX18,16,9,3,9,36,D
RMUX56,17,11,RMUX42,16,11,5,7,36,D
RMUX67,16,12,RMUX78,16,11,3,9,36,D
OMUX23,17,1,RMUX36,17,1,3,7,36,D
RMUX56,18,7,RMUX42,17,7,5,7,36,D
RMUX32,17,11,RMUX42,17,12,6,8,36,D
OMUX20,18,1,RMUX42,18,1,2,7,36,D
OMUX32,18,7,RMUX60,18,7,2,7,36,D
OMUX02,18,8,RMUX00,18,8,0,7,36,D
OMUX41,18,9,RMUX72,18,9,1,7,36,D
RMUX67,18,10,RMUX78,18,9,3,9,36,D
RMUX50,18,11,RMUX12,18,10,3,9,36,D
RMUX24,19,12,IMUX04,18,12,0,10,36,D
RMUX67,19,4,RMUX78,19,3,3,9,36,D
OMUX29,19,4,RMUX54,19,4,1,7,36,D
RMUX62,19,3,RMUX66,19,4,6,8,36,D
RMUX91,20,8,RMUX78,19,8,1,8,36,D
OMUX11,20,2,RMUX18,20,2,3,7,36,D
OMUX11,20,3,RMUX18,20,3,3,7,36,D
RMUX50,20,6,RMUX18,20,5,3,9,36,D
RMUX50,20,8,RMUX12,20,7,3,9,36,D
OMUX41,20,7,RMUX78,20,7,1,7,36,D
RMUX80,21,4,RMUX36,21,3,3,9,36,D
RMUX00,15,4,IMUX48,14,4,0,10,35,D
RMUX56,16,1,RMUX42,15,1,5,7,35,D
OMUX32,15,3,RMUX60,15,3,2,7,35,D
OMUX20,15,5,RMUX42,15,5,2,7,35,D
OMUX41,15,5,RMUX72,15,5,1,7,35,D
OMUX23,15,10,RMUX36,15,10,3,7,35,D
OMUX11,16,3,RMUX18,16,3,3,7,35,D
RMUX80,16,4,RMUX36,16,3,3,9,35,D
RMUX56,17,3,RMUX42,16,3,5,7,35,D
OMUX11,16,4,RMUX18,16,4,3,7,35,D
RMUX56,17,4,RMUX42,16,4,5,7,35,D
OMUX32,16,5,RMUX60,16,5,2,7,35,D
OMUX41,16,6,RMUX72,16,6,1,7,35,D
RMUX67,16,10,RMUX72,16,9,3,9,35,D
RMUX00,17,10,IMUX48,16,10,0,10,35,D
OMUX41,17,3,RMUX78,17,3,1,7,35,D
RMUX80,17,6,RMUX36,17,5,3,9,35,D
OMUX29,17,7,RMUX54,17,7,1,7,35,D
RMUX85,17,8,RMUX48,17,9,6,8,35,D
RMUX67,17,10,RMUX78,17,9,3,9,35,D
RMUX50,18,10,RMUX12,18,9,3,9,35,D
RMUX14,18,11,RMUX66,18,10,3,9,35,D
RMUX50,19,4,RMUX18,19,3,3,9,35,D
OMUX23,19,3,RMUX36,19,3,3,7,35,D
RMUX56,20,6,RMUX42,19,6,5,7,35,D
RMUX61,20,7,RMUX48,19,7,1,8,35,D
RMUX67,19,8,RMUX72,19,7,3,9,35,D
RMUX85,19,7,RMUX48,19,8,6,8,35,D
RMUX50,19,10,RMUX12,19,9,3,9,35,D
RMUX56,20,9,RMUX42,19,9,5,7,35,D
OMUX23,19,11,RMUX36,19,11,3,7,35,D
OMUX32,19,12,RMUX60,19,12,2,7,35,D
OMUX20,20,1,RMUX42,20,1,2,7,35,D
RMUX80,20,4,RMUX36,20,3,3,9,35,D
OMUX41,20,9,RMUX78,20,9,1,7,35,D
RMUX44,21,6,RMUX84,21,5,3,9,35,D
OMUX29,11,4,RMUX54,11,4,1,7,34,D
OMUX23,12,1,RMUX36,12,1,3,7,34,D
RMUX67,12,2,RMUX78,12,1,3,9,34,D
RMUX24,15,3,IMUX04,14,3,0,10,34,D
RMUX72,15,3,IMUX36,14,3,1,10,34,D
RMUX14,15,2,RMUX66,15,1,3,9,34,D
RMUX74,13,2,RMUX18,15,2,3,8,34,D
RMUX74,13,3,RMUX18,15,3,3,8,34,D
RMUX50,15,4,RMUX18,15,3,3,9,34,D
OMUX23,15,5,RMUX36,15,5,3,7,34,D
RMUX50,15,8,RMUX12,15,7,3,9,34,D
RMUX26,16,10,RMUX18,15,10,5,7,34,D
OMUX47,15,11,RMUX84,15,11,3,7,34,D
OMUX41,16,3,RMUX72,16,3,1,7,34,D
OMUX41,16,5,RMUX78,16,5,1,7,34,D
RMUX55,16,7,RMUX24,16,8,6,8,34,D
OMUX11,16,10,RMUX18,16,10,3,7,34,D
RMUX56,18,2,RMUX42,17,2,5,7,34,D
OMUX23,17,3,RMUX36,17,3,3,7,34,D
OMUX20,17,5,RMUX42,17,5,2,7,34,D
RMUX67,17,6,RMUX78,17,5,3,9,34,D
RMUX50,17,8,RMUX12,17,7,3,9,34,D
OMUX41,17,7,RMUX78,17,7,1,7,34,D
OMUX23,17,8,RMUX36,17,8,3,7,34,D
RMUX50,17,10,RMUX12,17,9,3,9,34,D
RMUX80,17,10,RMUX36,17,9,3,9,34,D
RMUX86,18,9,RMUX66,17,9,5,7,34,D
OMUX11,17,11,RMUX18,17,11,3,7,34,D
RMUX56,18,11,RMUX42,17,11,5,7,34,D
RMUX56,18,12,RMUX42,17,12,5,7,34,D
OMUX41,18,2,RMUX78,18,2,1,7,34,D
OMUX41,18,3,RMUX78,18,3,1,7,34,D
OMUX29,18,6,RMUX54,18,6,1,7,34,D
RMUX92,18,11,RMUX90,18,10,6,9,34,D
OMUX23,19,4,RMUX36,19,4,3,7,34,D
RMUX50,19,10,RMUX18,19,9,3,9,34,D
OMUX23,19,9,RMUX36,19,9,3,7,34,D
RMUX91,20,9,RMUX78,19,9,1,8,34,D
RMUX86,20,10,RMUX66,19,10,5,7,34,D
RMUX19,19,11,RMUX78,19,10,6,9,34,D
OMUX08,19,11,RMUX18,19,11,2,7,34,D
RMUX31,19,12,RMUX30,19,12,4,7,34,D
OMUX11,20,6,RMUX18,20,6,3,7,34,D
RMUX50,20,10,RMUX12,20,9,3,9,34,D
RMUX73,21,2,RMUX00,21,1,3,9,34,D
RMUX50,11,4,RMUX12,11,3,3,9,33,D
RMUX67,12,4,RMUX78,12,3,3,9,33,D
OMUX02,15,2,RMUX00,15,2,0,7,33,D
RMUX85,15,1,RMUX48,15,2,6,8,33,D
OMUX47,15,4,RMUX84,15,4,3,7,33,D
OMUX20,15,9,RMUX42,15,9,2,7,33,D
OMUX41,15,9,RMUX72,15,9,1,7,33,D
OMUX20,15,11,RMUX42,15,11,2,7,33,D
OMUX41,15,11,RMUX72,15,11,1,7,33,D
OMUX29,16,1,RMUX54,16,1,1,7,33,D
OMUX41,16,1,RMUX78,16,1,1,7,33,D
OMUX20,16,3,RMUX42,16,3,2,7,33,D
OMUX41,16,3,RMUX78,16,3,1,7,33,D
OMUX35,16,4,RMUX66,16,4,3,7,33,D
RMUX14,16,6,RMUX66,16,5,3,9,33,D
OMUX11,16,6,RMUX18,16,6,3,7,33,D
OMUX20,16,6,RMUX42,16,6,2,7,33,D
RMUX50,16,8,RMUX18,16,7,3,9,33,D
RMUX62,16,11,RMUX60,16,10,6,9,33,D
OMUX44,16,10,RMUX84,16,10,2,7,33,D
OMUX47,16,10,RMUX84,16,10,3,7,33,D
OMUX47,16,10,RMUX90,16,10,3,7,33,D
OMUX41,16,11,RMUX78,16,11,1,7,33,D
RMUX85,16,10,RMUX54,16,12,0,9,33,D
OMUX23,17,2,RMUX36,17,2,3,7,33,D
RMUX14,17,8,RMUX66,17,7,3,9,33,D
RMUX26,18,9,RMUX18,17,9,5,7,33,D
OMUX23,17,9,RMUX36,17,9,3,7,33,D
OMUX41,17,10,RMUX78,17,10,1,7,33,D
OMUX41,18,1,RMUX78,18,1,1,7,33,D
RMUX32,18,1,RMUX42,18,2,6,8,33,D
OMUX23,18,3,RMUX36,18,3,3,7,33,D
RMUX26,19,7,RMUX18,18,7,5,7,33,D
RMUX50,18,12,RMUX12,18,10,4,9,33,D
OMUX23,18,11,RMUX36,18,11,3,7,33,D
RMUX32,18,11,RMUX42,18,12,6,8,33,D
OMUX41,19,6,RMUX78,19,6,1,7,33,D
RMUX91,20,7,RMUX78,19,7,1,8,33,D
RMUX50,19,11,RMUX12,19,10,3,9,33,D
RMUX85,19,11,RMUX54,19,10,6,9,33,D
RMUX62,19,11,RMUX60,19,10,6,9,33,D
RMUX14,19,11,RMUX66,19,10,3,9,33,D
RMUX85,19,10,RMUX54,19,12,0,9,33,D
OMUX23,20,1,RMUX36,20,1,3,7,33,D
RMUX80,20,8,RMUX36,20,7,3,9,33,D
OMUX35,20,7,RMUX66,20,7,3,7,33,D
OMUX29,20,8,RMUX54,20,8,1,7,33,D
RMUX80,20,10,RMUX36,20,9,3,9,33,D
OMUX11,20,10,RMUX18,20,10,3,7,33,D
RMUX44,21,4,RMUX90,21,3,3,9,33,D
RMUX50,21,6,RMUX12,21,5,3,9,33,D
RMUX50,11,2,RMUX12,11,1,3,9,32,D
RMUX24,15,1,IMUX04,14,1,0,10,32,D
RMUX00,15,2,IMUX48,14,2,0,10,32,D
RMUX00,16,2,IMUX48,15,2,0,10,32,D
OMUX08,15,3,RMUX18,15,3,2,7,32,D
RMUX72,16,4,IMUX44,15,4,1,10,32,D
RMUX56,16,5,RMUX42,15,5,5,7,32,D
OMUX35,15,6,RMUX66,15,6,3,7,32,D
OMUX41,15,9,RMUX78,15,9,1,7,32,D
OMUX35,15,11,RMUX66,15,11,3,7,32,D
OMUX41,15,12,RMUX78,15,12,1,7,32,D
RMUX80,16,3,RMUX36,16,2,3,9,32,D
OMUX41,16,6,RMUX78,16,6,1,7,32,D
OMUX11,16,8,RMUX18,16,8,3,7,32,D
OMUX32,16,9,RMUX60,16,9,2,7,32,D
RMUX50,16,12,RMUX12,16,10,4,9,32,D
OMUX29,17,1,RMUX54,17,1,1,7,32,D
RMUX67,17,4,RMUX72,17,3,3,9,32,D
OMUX29,17,4,RMUX54,17,4,1,7,32,D
OMUX41,17,4,RMUX78,17,4,1,7,32,D
OMUX11,17,6,RMUX18,17,6,3,7,32,D
OMUX41,17,8,RMUX78,17,8,1,7,32,D
RMUX50,17,11,RMUX12,17,9,4,9,32,D
RMUX72,18,10,IMUX36,17,10,1,10,32,D
RMUX67,17,12,RMUX78,17,11,3,9,32,D
OMUX41,17,12,RMUX78,17,12,1,7,32,D
OMUX23,18,1,RMUX36,18,1,3,7,32,D
RMUX55,18,3,RMUX24,18,4,6,8,32,D
OMUX23,18,4,RMUX36,18,4,3,7,32,D
OMUX02,18,5,RMUX00,18,5,0,7,32,D
OMUX29,18,7,RMUX54,18,7,1,7,32,D
RMUX50,18,10,RMUX18,18,9,3,9,32,D
RMUX44,18,12,RMUX84,18,10,4,9,32,D
RMUX67,18,12,RMUX78,18,11,3,9,32,D
RMUX67,19,6,RMUX78,19,5,3,9,32,D
RMUX67,19,10,RMUX78,19,9,3,9,32,D
RMUX62,19,11,RMUX66,19,10,6,9,32,D
RMUX25,19,12,RMUX24,19,12,4,7,32,D
OMUX23,20,5,RMUX36,20,5,3,7,32,D
RMUX50,20,8,RMUX18,20,7,3,9,32,D
RMUX67,12,2,RMUX72,12,1,3,9,31,D
OMUX29,12,3,RMUX54,12,3,1,7,31,D
RMUX00,15,3,IMUX48,14,3,0,10,31,D
OMUX35,15,1,RMUX66,15,1,3,7,31,D
RMUX72,16,2,IMUX44,15,2,1,10,31,D
OMUX20,15,2,RMUX42,15,2,2,7,31,D
RMUX00,16,3,IMUX48,15,3,0,10,31,D
RMUX08,13,3,RMUX42,15,3,3,8,31,D
RMUX56,16,6,RMUX42,15,6,5,7,31,D
OMUX11,15,8,RMUX18,15,8,3,7,31,D
OMUX32,15,8,RMUX60,15,8,2,7,31,D
RMUX85,15,11,RMUX54,15,11,5,9,31,D
RMUX26,17,1,RMUX18,16,1,5,7,31,D
RMUX55,16,1,RMUX24,16,2,6,8,31,D
OMUX41,16,2,RMUX72,16,2,1,7,31,D
RMUX67,16,4,RMUX78,16,3,3,9,31,D
OMUX23,16,4,RMUX36,16,4,3,7,31,D
RMUX67,16,6,RMUX78,16,5,3,9,31,D
OMUX20,16,7,RMUX42,16,7,2,7,31,D
RMUX50,16,9,RMUX18,16,8,3,9,31,D
OMUX47,16,9,RMUX90,16,9,3,7,31,D
RMUX25,16,11,RMUX06,16,10,6,9,31,D
OMUX20,16,10,RMUX42,16,10,2,7,31,D
RMUX31,16,12,RMUX30,16,12,4,7,31,D
RMUX79,17,12,RMUX30,16,12,5,7,31,D
RMUX67,17,2,RMUX72,17,1,3,9,31,D
RMUX14,17,6,RMUX66,17,5,3,9,31,D
RMUX86,18,7,RMUX66,17,7,5,7,31,D
RMUX50,17,10,RMUX18,17,9,3,9,31,D
OMUX35,17,9,RMUX66,17,9,3,7,31,D
OMUX47,17,9,RMUX84,17,9,3,7,31,D
OMUX23,17,11,RMUX36,17,11,3,7,31,D
OMUX32,17,12,RMUX60,17,12,2,7,31,D
RMUX56,19,3,RMUX42,18,3,5,7,31,D
RMUX72,19,9,IMUX36,18,9,1,10,31,D
OMUX11,18,10,RMUX18,18,10,3,7,31,D
RMUX85,18,11,RMUX48,18,10,6,9,31,D
RMUX62,18,11,RMUX60,18,10,6,9,31,D
RMUX56,20,1,RMUX42,19,1,5,7,31,D
