signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hreadyout,X13Y9_BufMUX14,X14Y9_RMUX46,fabric,14,9,CFG_RMUX7,40;41;42;43;44;45;46;47;48;49,40;47,vendor-slave-ahb-response
slave_ahb_hreadyout,X14Y9_RMUX46,X14Y9_IMUX02,fabric,14,9,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,24;35,vendor-slave-ahb-response
slave_ahb_hresp,X13Y9_BufMUX15,X14Y9_RMUX41,fabric,14,9,CFG_RMUX6,50;51;52;53;54;55;56;57;58;59,52;57,vendor-slave-ahb-response
slave_ahb_hresp,X14Y9_RMUX41,X14Y9_IMUX01,fabric,14,9,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,20;22,vendor-slave-ahb-response
slave_ahb_hrdata[0],X13Y9_BufMUX16,X14Y9_RMUX59,fabric,14,9,CFG_RMUX9,50;51;52;53;54;55;56;57;58;59,50;57,vendor-slave-ahb-response
slave_ahb_hrdata[0],X14Y9_RMUX59,X14Y9_IMUX03,fabric,14,9,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,38;47,vendor-slave-ahb-response
