signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hrdata[13],X13Y8_BufMUX09,X13Y8_InputMUX09,mcu,13,8,InputMUX9,0,0,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[13],X13Y8_InputMUX09,X14Y8_RMUX94,fabric,14,8,CFG_RMUX15,40;41;42;43;44;45;46;47;48;49,42;48,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[13],X14Y8_RMUX94,X14Y8_IMUX00,fabric,14,8,CFG_IMUX0,0;1;2;3;4;5;6;7;8;9;10;11,8;11,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[14],X13Y8_BufMUX10,X13Y8_InputMUX11,mcu,13,8,InputMUX11,0,,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[14],X13Y8_InputMUX11,X14Y8_RMUX82,fabric,14,8,CFG_RMUX13,40;41;42;43;44;45;46;47;48;49,42;48,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[14],X14Y8_RMUX82,X14Y8_IMUX02,fabric,14,8,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,30;35,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[15],X13Y8_BufMUX11,X13Y8_InputMUX10,mcu,13,8,InputMUX10,0,0,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[15],X13Y8_InputMUX10,X14Y8_RMUX81,fabric,14,8,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,32;38,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[15],X14Y8_RMUX81,X14Y8_RMUX83,fabric,14,8,CFG_RMUX13,50;51;52;53;54;55;56;57;58;59,54;57,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[15],X14Y8_RMUX83,X14Y8_IMUX01,fabric,14,8,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,18;23,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[16],X13Y8_BufMUX12,X14Y8_RMUX11,fabric,14,8,CFG_RMUX1,50;51;52;53;54;55;56;57;58;59,50;57,vendor-slave-ahb-hrdata13-16
slave_ahb_hrdata[16],X14Y8_RMUX11,X14Y8_IMUX03,fabric,14,8,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,39;46,vendor-slave-ahb-hrdata13-16
