src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X9Y5_BufMUX01,X9Y5_InputMUX00,mcu,9,5,InputMUX0,0,0,vendor-gpio5-lane0-loop
X9Y5_InputMUX00,X9Y4_RMUX23,fabric,9,4,CFG_RMUX3,50;51;52;53;54;55;56;57;58;59,53;59,vendor-gpio5-lane0-loop
X9Y4_RMUX23,X9Y4_IMUX15,fabric,9,4,CFG_IMUX3,36;37;38;39;40;41;42;43;44;45;46;47,41;46,vendor-gpio5-lane0-loop
X9Y5_BufMUX09,X9Y5_InputMUX09,mcu,9,5,InputMUX9,0,0,vendor-gpio5-lane0-loop
X9Y5_InputMUX09,X9Y4_RMUX88,fabric,9,4,CFG_RMUX14,40;41;42;43;44;45;46;47;48;49,43;49,vendor-gpio5-lane0-loop
X9Y4_RMUX88,X9Y4_IMUX14,fabric,9,4,CFG_IMUX3,24;25;26;27;28;29;30;31;32;33;34;35,31;35,vendor-gpio5-lane0-loop
X9Y4_OMUX11,X9Y4_RMUX09,fabric,9,4,CFG_RMUX1,30;31;32;33;34;35;36;37;38;39,33;37,vendor-gpio5-lane0-loop
X9Y4_RMUX09,X9Y5_BBMUXS02,mcu,9,5,BBMUXS2,0;1;2;3;4;5;6;7;8,1;5,vendor-gpio5-lane0-loop
