signal,step,src_wire,dst_wire,evidence
ext_dma_DMACLBREQ[2],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[2],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[2],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[2],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[2],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[2],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[2],6,X3Y4_RMUX69,X3Y5_BBMUXS06,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[2],7,X3Y5_BBMUXS06,X0Y5_SinkMUXPseudo205,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],5,X6Y4_RMUX63,X3Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],6,X3Y4_RMUX69,X3Y5_BBMUXS07,vendor-dma-request-all-shared
ext_dma_DMACLBREQ[3],7,X3Y5_BBMUXS07,X0Y5_SinkMUXPseudo206,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],6,X2Y4_RMUX69,X2Y5_BBMUXS00,vendor-dma-request-all-shared
ext_dma_DMACSREQ[0],7,X2Y5_BBMUXS00,X0Y5_SinkMUXPseudo207,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],6,X2Y4_RMUX69,X2Y5_BBMUXS01,vendor-dma-request-all-shared
ext_dma_DMACSREQ[1],7,X2Y5_BBMUXS01,X0Y5_SinkMUXPseudo208,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],1,X14Y12_RMUX21,X14Y8_RMUX87,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],2,X14Y8_RMUX87,X14Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],3,X14Y4_RMUX63,X10Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],4,X10Y4_RMUX63,X6Y4_RMUX63,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],5,X6Y4_RMUX63,X2Y4_RMUX69,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],6,X2Y4_RMUX69,X2Y5_BBMUXS02,vendor-dma-request-all-shared
ext_dma_DMACSREQ[2],7,X2Y5_BBMUXS02,X0Y5_SinkMUXPseudo209,vendor-dma-request-all-shared
