signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hrdata[29],X13Y7_BufMUX05,X13Y7_InputMUX05,mcu,13,7,InputMUX5,0,0,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[29],X13Y7_InputMUX05,X14Y7_RMUX29,fabric,14,7,CFG_RMUX4,50;51;52;53;54;55;56;57;58;59,52;58,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[29],X14Y7_RMUX29,X14Y7_IMUX03,fabric,14,7,CFG_IMUX0,36;37;38;39;40;41;42;43;44;45;46;47,42;46,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[30],X13Y7_BufMUX06,X13Y7_InputMUX06,mcu,13,7,InputMUX6,0,,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[30],X13Y7_InputMUX06,X14Y7_RMUX65,fabric,14,7,CFG_RMUX10,50;51;52;53;54;55;56;57;58;59,52;58,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[30],X14Y7_RMUX65,X14Y7_IMUX01,fabric,14,7,CFG_IMUX0,12;13;14;15;16;17;18;19;20;21;22;23,15;23,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[31],X13Y7_BufMUX07,X13Y7_InputMUX07,mcu,13,7,InputMUX7,0,0,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[31],X13Y7_InputMUX07,X15Y7_RMUX60,fabric,15,7,CFG_RMUX10,0;1;2;3;4;5;6;7;8;9,3;8,vendor-slave-ahb-hrdata29-31
slave_ahb_hrdata[31],X15Y7_RMUX60,X14Y7_IMUX02,fabric,14,7,CFG_IMUX0,24;25;26;27;28;29;30;31;32;33;34;35,25;34,vendor-slave-ahb-hrdata29-31
