signal,logical_bit,step,src_wire,dst_wire,evidence
gpio5_io_out_data,0,0,X9Y5_BufMUX01,X9Y5_InputMUX00,vendor-gpio5-lane0-loop
gpio5_io_out_data,0,1,X9Y5_InputMUX00,X9Y4_RMUX23,vendor-gpio5-lane0-loop
gpio5_io_out_data,0,2,X9Y4_RMUX23,X9Y4_IMUX15,vendor-gpio5-lane0-loop
gpio5_io_out_en,0,0,X9Y5_BufMUX09,X9Y5_InputMUX09,vendor-gpio5-lane0-loop
gpio5_io_out_en,0,1,X9Y5_InputMUX09,X9Y4_RMUX88,vendor-gpio5-lane0-loop
gpio5_io_out_en,0,2,X9Y4_RMUX88,X9Y4_IMUX14,vendor-gpio5-lane0-loop
gpio5_io_in,2,0,X9Y4_OMUX11,X9Y4_RMUX09,vendor-gpio5-lane0-loop
gpio5_io_in,2,1,X9Y4_RMUX09,X9Y5_BBMUXS02,vendor-gpio5-lane0-loop
gpio5_io_in,2,2,X9Y5_BBMUXS02,X0Y5_SinkMUXPseudo151,vendor-gpio5-lane0-loop
