net,step,src_wire,dst_wire,evidence
hrdata4,0,X14Y11_OMUX05,X14Y11_RMUX21,2026-08-04-l48-scratch5-posted-address-tag-pure-open
hrdata4,1,X14Y11_RMUX21,X14Y7_RMUX92,2026-08-04-l48-scratch5-posted-address-tag-pure-open
hrdata4,2,X14Y7_RMUX92,X14Y11_RMUX85,2026-08-04-l48-scratch5-posted-address-tag-pure-open
hrdata4,3,X14Y11_RMUX85,X14Y12_RMUX49,2026-08-04-l48-scratch5-posted-address-tag-pure-open
hrdata4,4,X14Y12_RMUX49,X13Y12_BBMUXE06,2026-08-04-l48-scratch5-posted-address-tag-pure-open
hrdata4,5,X13Y12_BBMUXE06,X0Y5_SinkMUXPseudo06,2026-08-04-l48-scratch5-posted-address-tag-pure-open
haddr2_read4,0,X13Y12_BufMUX12,X14Y12_RMUX14,2026-08-04-l48-scratch5-haddr2-read-gate
haddr2_read4,1,X14Y12_RMUX14,X14Y8_RMUX50,2026-08-04-l48-scratch5-haddr2-read-gate
haddr2_read4,2,X14Y8_RMUX50,X14Y7_RMUX19,2026-08-04-l48-scratch5-haddr2-read-gate
haddr2_read4,3,X14Y7_RMUX19,X14Y11_RMUX89,2026-08-04-l48-scratch5-haddr2-read-gate
haddr2_read4,4,X14Y11_RMUX89,X14Y11_IMUX05,2026-08-04-l48-scratch5-haddr2-read-gate
scratch4_read,0,X15Y12_OMUX08,X15Y12_RMUX14,2026-08-04-l48-scratch5-storage-to-read-gate
scratch4_read,1,X15Y12_RMUX14,X15Y11_RMUX50,2026-08-04-l48-scratch5-storage-to-read-gate
scratch4_read,2,X15Y11_RMUX50,X15Y10_RMUX13,2026-08-04-l48-scratch5-storage-to-read-gate
scratch4_read,3,X15Y10_RMUX13,X14Y10_RMUX55,2026-08-04-l48-scratch5-storage-to-read-gate
scratch4_read,4,X14Y10_RMUX55,X14Y11_RMUX40,2026-08-04-l48-scratch5-storage-to-read-gate
scratch4_read,5,X14Y11_RMUX40,X14Y11_IMUX04,2026-08-04-l48-scratch5-storage-to-read-gate
commit_storage4,0,X17Y12_OMUX02,X17Y12_RMUX21,2026-08-04-l48-scratch5-commit-to-storage
commit_storage4,1,X17Y12_RMUX21,X17Y11_RMUX93,2026-08-04-l48-scratch5-commit-to-storage
commit_storage4,2,X17Y11_RMUX93,X15Y11_RMUX87,2026-08-04-l48-scratch5-commit-to-storage
commit_storage4,3,X15Y11_RMUX87,X15Y10_RMUX69,2026-08-04-l48-scratch5-commit-to-storage
commit_storage4,4,X15Y10_RMUX69,X15Y12_RMUX82,2026-08-04-l48-scratch5-commit-to-storage
commit_storage4,5,X15Y12_RMUX82,X15Y12_IMUX08,2026-08-04-l48-scratch5-commit-to-storage
