src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y7_OMUX44,X14Y7_RMUX75,fabric,14,7,CFG_RMUX12,30;31;32;33;34;35;36;37;38;39,32;37,retained-independent-register-haddr29
X14Y7_RMUX75,X14Y8_RMUX20,fabric,14,8,CFG_RMUX3,20;21;22;23;24;25;26;27;28;29,26;28,retained-independent-register-haddr29
X14Y8_RMUX20,X13Y8_BBMUXE10,mcu,13,8,BBMUXE10,0;1;2;3;4;5;6;7;8,2;6,retained-independent-register-haddr29
