signal,logical_bit,flow,step,src_wire,dst_wire,evidence
mem_ahb_hsize,1,mcu_to_fabric,2,X14Y12_RMUX26,X13Y12_BBMUXE07,vendor-ahb-controls
mem_ahb_hsize,1,mcu_to_fabric,3,X13Y12_BBMUXE07,X0Y5_SinkMUXPseudo07,vendor-ahb-controls
mem_ahb_hsize,2,mcu_to_fabric,0,X13Y12_BufMUX05,X13Y12_InputMUX05,vendor-ahb-controls
mem_ahb_hsize,2,mcu_to_fabric,1,X13Y12_InputMUX05,X14Y12_RMUX38,vendor-ahb-controls
mem_ahb_hsize,2,mcu_to_fabric,2,X14Y12_RMUX38,X15Y12_RMUX56,vendor-ahb-controls
mem_ahb_hsize,2,mcu_to_fabric,3,X15Y12_RMUX56,X14Y12_RMUX43,vendor-ahb-controls
mem_ahb_hsize,2,mcu_to_fabric,4,X14Y12_RMUX43,X13Y12_BBMUXE08,vendor-ahb-controls
mem_ahb_hsize,2,mcu_to_fabric,5,X13Y12_BBMUXE08,X0Y5_SinkMUXPseudo08,vendor-ahb-controls
mem_ahb_hburst,0,mcu_to_fabric,0,X13Y12_BufMUX06,X13Y12_InputMUX07,vendor-ahb-controls
mem_ahb_hburst,0,mcu_to_fabric,1,X13Y12_InputMUX07,X14Y12_RMUX56,vendor-ahb-controls
mem_ahb_hburst,0,mcu_to_fabric,2,X14Y12_RMUX56,X13Y12_BBMUXE09,vendor-ahb-controls
mem_ahb_hburst,0,mcu_to_fabric,3,X13Y12_BBMUXE09,X0Y5_SinkMUXPseudo09,vendor-ahb-controls
mem_ahb_hburst,1,mcu_to_fabric,0,X13Y12_BufMUX07,X13Y12_InputMUX06,vendor-ahb-controls
mem_ahb_hburst,1,mcu_to_fabric,1,X13Y12_InputMUX06,X14Y12_RMUX49,vendor-ahb-controls
mem_ahb_hburst,1,mcu_to_fabric,2,X14Y12_RMUX49,X13Y12_BBMUXE10,vendor-ahb-controls
mem_ahb_hburst,1,mcu_to_fabric,3,X13Y12_BBMUXE10,X0Y5_SinkMUXPseudo10,vendor-ahb-controls
mem_ahb_hburst,2,mcu_to_fabric,0,X13Y12_BufMUX08,X13Y12_InputMUX08,vendor-ahb-controls
mem_ahb_hburst,2,mcu_to_fabric,1,X13Y12_InputMUX08,X14Y12_RMUX63,vendor-ahb-controls
mem_ahb_hburst,2,mcu_to_fabric,2,X14Y12_RMUX63,X13Y12_BBMUXE11,vendor-ahb-controls
mem_ahb_hburst,2,mcu_to_fabric,3,X13Y12_BBMUXE11,X0Y5_SinkMUXPseudo11,vendor-ahb-controls
